GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",27596.3,29637.2,31960.8,34584.7,36600.3,38501.0,41145.6,43750.6,46421.1,48689.4,50566.6,52039.9,51614.7,53359.9,54909.1,56107.2,57580.1,59480.9,61532.0,63683.9,66455.7,69494.4,71883.0,71131.4,78793.9
 "33000","New Hampshire",1,SAPCE3,2,"..."," Goods ","Millions of current dollars",10189.7,10757.5,11723.3,12498.4,13093.8,13663.4,14604.9,15472.2,16137.7,16590.4,16906.9,16910.8,15953.6,16586.3,17238.3,17766.1,18403.2,19030.1,19135.1,19404.5,20121.2,20864.9,21374.6,22420.1,26191.3
 "33000","New Hampshire",1,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",3446.4,3808.3,4151.4,4342.2,4585.7,4924.4,5349.3,5556.1,5728.1,5689.3,5748.8,5381.6,4988.3,5184.1,5268.8,5511.8,5831.3,6117.2,6462.9,6609.0,6765.8,7036.0,7209.7,8023.7,10017.6
 "33000","New Hampshire",1,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",1596.6,1771.2,1906.6,1950.7,2126.0,2259.7,2400.1,2312.2,2289.0,2139.7,2101.2,1830.5,1782.8,1902.5,1969.0,2094.3,2294.6,2494.7,2709.2,2700.4,2788.1,2886.6,2890.7,3010.0,3970.5
 "33000","New Hampshire",1,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",951.6,1066.8,1166.2,1210.3,1365.0,1465.2,1610.4,1527.6,1485.3,1350.9,1313.7,1068.3,1015.3,1107.7,1222.7,1353.6,1484.6,1617.9,1720.5,1671.9,1712.2,1755.8,1777.7,1865.3,2303.7
 "33000","New Hampshire",1,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",498.5,553.3,582.6,580.4,599.6,625.6,603.9,593.7,593.2,568.9,559.6,535.2,546.5,565.5,502.8,487.3,537.0,594.5,694.1,730.0,767.9,818.7,792.2,822.7,1281.6
 "33000","New Hampshire",1,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",146.6,151.1,157.8,160.0,161.3,168.9,185.8,190.9,210.5,219.9,227.9,227.1,221.0,229.3,243.6,253.5,273.0,282.3,294.6,298.5,307.9,312.0,320.7,322.0,385.2
 "33000","New Hampshire",1,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",729.6,798.3,877.3,960.5,1001.6,1098.8,1238.0,1341.6,1353.4,1367.8,1310.3,1240.4,1133.8,1163.1,1184.3,1230.1,1276.2,1331.7,1411.5,1487.3,1521.7,1626.9,1722.0,2044.2,2432.6
 "33000","New Hampshire",1,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",445.7,488.3,536.9,586.6,601.0,646.4,737.0,807.4,817.3,834.5,806.6,754.1,680.2,698.9,710.4,745.2,770.5,806.7,866.6,923.1,956.7,1045.4,1121.1,1348.1,1608.1
 "33000","New Hampshire",1,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",128.4,138.4,151.1,159.0,172.3,193.3,204.2,218.6,229.2,229.9,221.9,213.9,194.2,200.2,207.6,215.1,226.4,231.7,236.2,243.7,241.4,243.4,243.5,276.5,332.8
 "33000","New Hampshire",1,SAPCE3,11,"...","    Glassware, tableware, and household utensils ","Millions of current dollars",101.2,113.7,124.9,145.3,153.8,178.9,212.8,221.4,209.7,206.7,195.6,189.7,175.2,169.2,160.5,157.0,162.3,171.1,182.3,188.1,188.0,193.5,205.5,233.2,286.9
 "33000","New Hampshire",1,SAPCE3,12,"...","    Tools and equipment for house and garden ","Millions of current dollars",54.3,58.0,64.3,69.6,74.6,80.2,83.9,94.3,97.3,96.6,86.2,82.7,84.2,94.7,105.8,112.7,117.0,122.3,126.4,132.4,135.6,144.6,151.8,186.3,204.9
 "33000","New Hampshire",1,SAPCE3,13,"...","   Recreational goods and vehicles ","Millions of current dollars",723.8,810.8,900.0,947.7,973.6,1049.2,1145.3,1273.3,1404.6,1453.5,1565.2,1535.8,1330.2,1334.0,1308.7,1336.4,1371.5,1355.9,1374.4,1430.1,1456.5,1501.4,1569.7,2002.8,2344.8
 "33000","New Hampshire",1,SAPCE3,14,"...","    Video, audio, photographic, and information processing equipment and media ","Millions of current dollars",464.3,515.1,540.7,549.8,567.0,635.5,702.8,793.9,895.5,955.7,1044.2,1025.1,882.9,889.0,875.8,889.5,921.0,890.9,888.8,916.6,961.9,994.6,1061.3,1314.8,1518.7
 "33000","New Hampshire",1,SAPCE3,15,"...","    Sporting equipment, supplies, guns, and ammunition ","Millions of current dollars",106.5,121.4,149.9,156.4,159.8,158.2,171.8,196.2,206.6,198.1,208.0,207.3,196.3,190.5,192.5,200.6,195.2,198.0,207.6,222.1,188.0,200.9,207.3,349.6,399.5
