GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",192898.9,205456.0,219538.6,236810.5,249301.3,261664.4,277140.7,293198.3,309869.0,325927.2,338978.1,348370.1,341956.3,351425.5,361742.9,372222.5,380191.6,392156.7,401477.9,412421.0,423288.3,443243.8,457257.1,447693.8,506908.8
 "34000","New Jersey",2,SAPCE3,2,"..."," Goods ","Millions of current dollars",68540.7,72088.5,78238.0,84449.2,88271.9,91836.2,96533.8,101459.3,106442.7,111957.5,115330.9,113733.8,107597.7,111572.5,116965.5,119382.2,121899.5,124930.1,126298.3,126826.1,129882.9,134563.5,139730.4,142492.6,170846.6
 "34000","New Jersey",2,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",23024.2,25015.1,27549.6,29772.6,31245.1,33317.7,34878.0,36576.7,37942.3,39846.9,39928.4,37372.1,34584.8,35764.0,36954.4,37676.4,39001.6,39583.8,40506.5,40656.0,41556.1,43199.6,44841.3,46981.4,59555.2
 "34000","New Jersey",2,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",8441.3,8984.7,9712.1,10306.0,11014.2,11792.2,11933.5,12158.7,11853.0,11402.6,11514.3,10169.0,9528.2,10515.7,11302.6,12124.8,12622.5,12866.0,13374.2,13170.3,13221.2,13550.1,13358.2,13133.8,16557.2
 "34000","New Jersey",2,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",5298.3,5717.9,6305.1,6802.4,7480.3,8067.4,8349.7,8382.9,8071.4,7628.0,7636.7,6430.1,5879.1,6533.7,7431.6,8281.4,8617.4,8731.4,8835.5,8474.6,8423.8,8525.6,8459.7,8378.2,9880.3
 "34000","New Jersey",2,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",2044.8,2198.2,2331.6,2414.4,2487.6,2652.6,2452.5,2557.4,2489.7,2424.8,2468.1,2377.4,2355.2,2559.9,2352.1,2271.2,2397.5,2513.9,2863.8,2997.9,3081.1,3262.5,3087.6,2906.6,4577.5
 "34000","New Jersey",2,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",1098.3,1068.6,1075.4,1089.2,1046.3,1072.2,1131.3,1218.4,1291.9,1349.8,1409.5,1361.5,1294.0,1422.1,1518.9,1572.1,1607.6,1620.6,1675.0,1697.8,1716.3,1762.0,1810.8,1849.0,2099.3
 "34000","New Jersey",2,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",5442.4,5941.1,6719.8,7408.4,7785.0,8129.8,8650.7,9168.2,9843.2,10749.2,10038.3,9418.3,8401.5,8485.4,8508.0,8536.5,8884.9,9075.9,9478.5,9968.0,10468.4,11328.0,11945.8,13190.5,15924.1
 "34000","New Jersey",2,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",3145.8,3425.0,3862.9,4308.5,4507.3,4657.3,5000.7,5327.2,5720.7,6325.3,5889.2,5391.9,4757.0,4795.2,4770.5,4854.3,5001.5,5167.1,5480.0,5891.1,6242.4,6871.9,7274.6,8310.4,10187.9
 "34000","New Jersey",2,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",949.2,1027.3,1118.1,1164.9,1219.2,1305.2,1356.3,1392.6,1506.4,1603.5,1559.9,1531.1,1434.1,1477.7,1543.5,1547.5,1635.8,1649.2,1680.3,1691.4,1735.2,1789.3,1814.6,1873.7,2218.3
