GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "56000","Wyoming",7,SAPCE3,1,"...","Personal consumption expenditures ","Millions of current dollars",9363.5,9993.4,10698.3,11458.7,11914.4,12420.8,13215.8,14256.6,15388.0,16747.8,18164.6,18995.8,18550.8,19198.6,20177.9,21147.6,21807.3,22553.5,23022.7,23082.9,23562.6,24355.2,24806.1,24566.4,27685.2
 "56000","Wyoming",7,SAPCE3,2,"..."," Goods ","Millions of current dollars",3681.7,3861.0,4135.2,4320.2,4479.7,4634.4,4915.2,5314.3,5741.4,6312.8,6872.2,7051.3,6560.8,6700.3,7076.6,7276.9,7365.0,7512.5,7457.0,7271.9,7385.3,7672.2,7834.5,8134.3,9529.8
 "56000","Wyoming",7,SAPCE3,3,"...","  Durable goods ","Millions of current dollars",1294.3,1398.1,1517.8,1571.8,1678.2,1810.5,1881.5,2024.3,2135.0,2269.5,2443.3,2305.0,2114.2,2147.1,2251.6,2354.4,2418.8,2496.8,2541.6,2453.4,2468.3,2554.2,2594.5,2809.5,3440.3
 "56000","Wyoming",7,SAPCE3,4,"...","   Motor vehicles and parts ","Millions of current dollars",618.1,688.4,772.5,793.9,883.0,944.3,949.7,996.8,1018.4,1042.1,1133.6,993.7,911.2,970.5,1052.1,1126.2,1142.5,1190.6,1217.5,1178.9,1221.1,1239.8,1238.4,1316.6,1606.6
 "56000","Wyoming",7,SAPCE3,5,"...","    New motor vehicles ","Millions of current dollars",364.6,406.8,460.7,478.4,547.5,595.1,616.4,638.0,637.5,623.7,661.2,527.2,460.8,503.9,586.6,646.8,655.5,686.8,687.8,648.9,664.8,659.4,652.3,682.6,775.0
 "56000","Wyoming",7,SAPCE3,6,"...","    Net purchases of used motor vehicles ","Millions of current dollars",168.1,192.4,217.8,219.4,232.3,247.8,222.8,236.9,245.6,259.9,286.3,269.8,261.6,265.6,243.7,238.3,241.6,254.1,277.6,290.4,315.9,338.2,335.5,375.6,538.0
 "56000","Wyoming",7,SAPCE3,7,"...","    Motor vehicle parts and accessories ","Millions of current dollars",85.5,89.2,94.0,96.0,103.2,101.4,110.4,121.9,135.3,158.5,186.1,196.7,188.8,201.0,221.8,241.1,245.4,249.7,252.1,239.7,240.4,242.3,250.6,258.4,293.6
 "56000","Wyoming",7,SAPCE3,8,"...","   Furnishings and durable household equipment ","Millions of current dollars",258.1,275.1,286.2,302.0,310.8,335.7,353.9,381.3,421.1,482.5,505.9,508.9,459.1,447.7,449.4,459.0,488.8,503.2,528.4,532.5,534.0,572.2,597.7,700.7,828.4
 "56000","Wyoming",7,SAPCE3,9,"...","    Furniture and furnishings ","Millions of current dollars",147.8,159.2,167.2,179.6,182.5,195.8,209.0,230.0,258.3,309.9,322.4,313.9,278.8,271.5,271.3,279.0,294.8,302.7,322.8,326.8,327.5,360.4,383.4,456.1,544.7
 "56000","Wyoming",7,SAPCE3,10,"...","    Household appliances ","Millions of current dollars",44.8,48.5,50.1,51.4,56.1,64.2,68.5,73.8,79.0,82.6,88.6,96.2,93.0,91.2,92.9,92.7,99.3,102.5,103.9,102.4,102.6,104.1,104.3,116.8,137.6
