GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",259106.5,274083.7,289255.9,311284.2,321922.5,331174.3,345412.2,363334.1,383670.3,403311.0,422823.5,433300.1,424621.5,438798.2,454673.3,465504.9,474893.0,492043.9,504573.4,518592.3,535515.6,559137.3,573085.1,556286.1,627976.0
 "17000","Illinois",3,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",250631.8,264049.5,278636.9,299281.0,308944.6,317024.1,331306.2,349373.0,369446.2,387441.8,407297.5,415017.1,406485.2,419983.9,435205.9,443841.4,453322.8,469326.0,482079.8,494213.3,510726.0,531999.9,546759.7,525630.8,593777.9
 "17000","Illinois",3,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",19453.3,19657.9,20304.7,21948.5,22718.0,23152.8,24281.0,25829.7,26963.7,28621.5,30190.5,30574.7,30118.7,30257.3,31321.9,31603.0,32035.9,32838.0,33611.8,34030.5,35207.0,36111.8,37427.0,40509.5,43728.3
 "17000","Illinois",3,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",17134.5,17248.5,17767.7,19096.9,19722.1,20037.1,21082.1,22470.7,23519.9,24907.0,26334.0,26816.7,26424.9,26459.9,27465.4,27706.7,28142.7,28836.2,29438.5,29702.2,30734.9,31445.8,32555.8,35058.7,37857.6
 "17000","Illinois",3,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2301.5,2394.1,2523.7,2840.4,2986.6,3106.1,3190.2,3349.4,3433.3,3703.7,3847.8,3750.2,3684.9,3786.9,3846.1,3886.6,3883.8,3993.1,4165.7,4321.9,4459.1,4652.1,4855.8,5436.7,5855.8
 "17000","Illinois",3,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",17.3,15.3,13.2,11.2,9.3,9.6,8.8,9.6,10.6,10.7,8.7,7.8,8.9,10.4,10.4,9.8,9.4,8.7,7.5,6.5,13.1,14.0,15.4,14.1,14.9
 "17000","Illinois",3,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",12814.2,13310.2,13837.4,14340.0,14065.7,13927.8,14126.4,14608.1,15224.2,15472.7,15480.2,15211.2,14411.6,14950.8,15632.7,15917.7,16103.0,16493.0,16970.6,17105.2,16831.1,17311.1,17352.6,15679.1,20254.2
 "17000","Illinois",3,SAPCE4,8,"...","   Clothing ","Millions of current dollars",10884.7,11257.5,11744.4,12158.4,11926.5,11844.5,11968.5,12340.0,12756.6,12867.9,12822.5,12556.0,11889.1,12305.1,12820.0,13010.2,13119.0,13415.1,13755.2,13810.9,13625.4,14007.2,14015.2,12617.5,16233.2
 "17000","Illinois",3,SAPCE4,9,"...","    Garments ","Millions of current dollars",10115.4,10445.5,10880.1,11238.2,10998.4,10917.8,11065.8,11468.6,11914.2,12033.7,12017.7,11751.1,11112.8,11511.9,12047.9,12242.2,12354.2,12628.5,12991.7,13050.9,12876.4,13233.8,13251.7,11969.1,15553.3
 "17000","Illinois",3,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",5744.6,5971.6,6298.0,6557.8,6466.5,6446.9,6580.5,6891.1,7204.1,7315.7,7349.2,7117.5,6697.6,6940.8,7281.4,7400.0,7458.0,7629.7,7860.4,7920.9,7802.3,8034.4,8009.0,7131.0,9313.4
