GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "25000","Massachusetts",1,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",153441.6,163603.5,174741.3,189001.7,199043.3,206134.2,217838.8,230487.3,242903.3,254673.5,262980.3,271408.7,267918.4,277047.6,286855.8,294778.2,302529.2,315612.4,327178.8,337983.0,350641.3,364342.8,376243.6,360537.9,408831.8
 "25000","Massachusetts",1,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",149904.0,159250.4,169993.2,183878.6,192982.4,199416.1,210707.8,223189.2,235161.2,245729.3,254494.4,262011.8,258117.4,267205.2,276277.9,282906.5,290055.4,302632.6,313847.6,323938.5,336122.3,349397.3,361217.2,344310.0,392743.0
 "25000","Massachusetts",1,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",12150.3,12453.6,13513.2,14064.7,14779.9,15148.0,15334.3,16431.6,17035.9,17696.7,18416.9,19131.6,19224.3,19536.1,20562.4,21337.9,21720.4,22558.2,23041.4,23632.2,24827.2,25265.3,26022.2,27816.0,29483.4
 "25000","Massachusetts",1,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",10225.3,10431.5,11262.7,11607.6,12161.0,12409.4,12644.3,13604.4,14173.5,14691.0,15331.9,16031.6,16114.2,16308.6,17242.5,17877.0,18230.5,18903.0,19240.3,19621.9,20607.2,20908.9,21518.6,22790.4,24188.5
 "25000","Massachusetts",1,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",1923.2,2020.3,2248.8,2455.4,2617.3,2737.0,2688.7,2825.8,2861.1,3004.3,3083.8,3098.6,3108.8,3226.1,3318.7,3459.9,3488.6,3651.1,3798.0,4007.9,4219.3,4355.7,4502.7,5024.5,5293.8
 "25000","Massachusetts",1,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",1.8,1.8,1.7,1.7,1.6,1.6,1.4,1.4,1.3,1.3,1.2,1.3,1.2,1.4,1.1,1.0,1.3,4.1,3.0,2.5,0.7,0.7,0.9,1.1,1.1
 "25000","Massachusetts",1,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",7871.2,8188.6,8605.8,8972.0,8928.2,8592.7,8915.3,9299.1,9494.0,9076.3,9119.0,9178.3,8848.1,9072.5,9058.0,9315.1,9405.1,9455.6,9636.5,9891.1,9812.9,9957.2,10105.1,8381.1,11100.8
 "25000","Massachusetts",1,SAPCE4,8,"...","   Clothing ","Millions of current dollars",6787.8,7051.3,7411.8,7734.3,7684.7,7402.4,7649.8,7963.1,8075.8,7672.4,7664.5,7677.0,7384.0,7529.9,7541.0,7721.4,7774.7,7814.8,7948.0,8116.2,8070.3,8187.4,8301.2,6845.6,9028.5
 "25000","Massachusetts",1,SAPCE4,9,"...","    Garments ","Millions of current dollars",6281.6,6515.6,6831.1,7116.0,7055.6,6779.0,7043.5,7358.0,7472.5,7064.0,7066.4,7070.1,6810.7,6963.6,7000.9,7188.0,7225.1,7243.3,7379.3,7544.9,7474.5,7579.5,7675.6,6353.3,8472.4
 "25000","Massachusetts",1,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",3611.2,3769.3,4003.3,4233.6,4239.5,4089.1,4285.3,4513.3,4601.8,4362.5,4403.3,4373.9,4206.7,4253.6,4317.1,4442.5,4456.3,4469.1,4552.7,4677.9,4631.3,4701.3,4736.4,3891.6,5204.9
