GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",25469.3,27079.5,29050.6,31167.4,32939.3,34841.6,36845.0,39036.5,41243.5,43103.6,44724.5,46030.3,45876.9,47321.9,48867.6,49379.4,50315.4,51947.7,53337.5,54847.8,57573.9,60063.3,62018.3,61370.5,69379.8
 "23000","Maine",1,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",24605.6,26102.5,27950.6,30007.4,31638.3,33390.6,35276.0,37469.4,39568.4,41237.6,42868.5,44009.9,43731.8,45121.5,46533.3,46952.7,47869.8,49456.9,50784.6,52129.4,54686.8,57057.7,58915.6,58027.5,66142.9
 "23000","Maine",1,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",2425.2,2489.4,2655.9,2794.7,2929.9,3002.8,3105.4,3248.1,3421.6,3558.6,3704.3,3859.0,3988.5,4045.3,4107.9,4225.4,4303.1,4475.6,4493.1,4591.7,4781.9,4967.7,5205.8,5739.3,6174.0
 "23000","Maine",1,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",2140.2,2163.3,2305.9,2423.3,2537.0,2593.4,2688.6,2813.1,2970.1,3078.3,3203.6,3357.7,3473.9,3508.6,3573.7,3676.1,3750.6,3898.3,3906.2,3979.3,4148.5,4298.8,4500.0,4939.3,5316.4
 "23000","Maine",1,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",282.6,323.8,348.0,369.4,391.1,407.6,415.1,433.3,450.0,478.7,499.4,499.5,512.9,534.9,532.6,547.7,550.0,571.2,582.4,608.9,632.2,667.7,704.3,798.1,855.5
 "23000","Maine",1,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",2.3,2.2,2.1,2.0,1.8,1.8,1.6,1.7,1.5,1.6,1.3,1.8,1.7,1.8,1.5,1.6,2.5,6.2,4.6,3.6,1.2,1.2,1.5,1.9,2.1
 "23000","Maine",1,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",1132.2,1179.2,1237.1,1275.5,1266.6,1273.3,1271.0,1318.6,1341.3,1368.9,1370.1,1348.2,1310.4,1332.4,1315.9,1320.4,1336.2,1349.3,1351.8,1359.8,1348.4,1364.6,1384.2,1219.5,1628.9
 "23000","Maine",1,SAPCE4,8,"...","   Clothing ","Millions of current dollars",943.9,984.2,1036.0,1073.3,1069.0,1079.7,1075.0,1104.6,1113.3,1123.6,1117.2,1101.8,1072.8,1089.5,1074.3,1075.9,1086.2,1095.2,1095.2,1098.6,1090.8,1104.7,1118.9,983.4,1304.9
 "23000","Maine",1,SAPCE4,9,"...","    Garments ","Millions of current dollars",873.3,909.9,956.4,989.2,983.1,992.9,987.9,1018.6,1032.2,1041.9,1038.1,1023.9,995.4,1013.8,1000.4,999.4,1008.4,1015.5,1015.1,1016.3,1001.5,1011.1,1024.8,899.4,1206.4
 "23000","Maine",1,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",499.7,515.0,539.4,557.7,549.8,548.6,549.7,564.4,572.9,576.6,569.8,569.1,559.4,571.4,562.2,556.8,563.3,567.1,567.7,569.6,560.2,566.2,570.8,497.9,670.7
 "23000","Maine",1,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",331.8,350.8,371.5,385.2,384.2,392.4,384.4,394.6,394.6,395.8,395.9,381.3,365.2,371.1,369.9,378.7,379.5,383.7,383.2,383.3,378.5,382.1,390.6,343.7,462.8
 "23000","Maine",1,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",41.8,44.1,45.5,46.3,49.1,52.0,53.9,59.6,64.7,69.5,72.4,73.5,70.7,71.2,68.2,63.9,65.6,64.6,64.2,63.4,62.8,62.8,63.5,57.8,72.9
 "23000","Maine",1,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",18.3,18.6,20.3,21.8,23.8,26.4,27.0,27.1,24.2,23.6,21.8,22.4,22.8,22.2,23.0,23.7,23.9,24.5,24.2,24.2,27.1,28.3,28.6,30.5,33.8
 "23000","Maine",1,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",52.4,55.6,59.3,62.2,62.1,60.4,60.0,58.9,56.9,58.1,57.3,55.5,54.6,53.5,51.0,52.8,53.9,55.2,55.9,58.0,62.2,65.3,65.4,53.5,64.6
 "23000","Maine",1,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",35.5,37.7,40.6,43.2,43.7,43.6,42.6,41.8,41.2,42.0,41.3,39.8,39.7,39.6,39.2,41.1,41.8,43.0,43.7,44.9,47.9,49.2,49.2,39.2,49.1
 "23000","Maine",1,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",16.8,18.0,18.7,19.0,18.4,16.8,17.4,17.0,15.7,16.2,16.0,15.7,14.9,13.9,11.8,11.7,12.0,12.2,12.1,13.1,14.3,16.1,16.2,14.3,15.6
 "23000","Maine",1,SAPCE4,17,"...","   Footwear ","Millions of current dollars",188.2,195.0,201.1,202.3,197.7,193.6,196.0,214.0,228.1,245.2,252.9,246.4,237.6,242.9,241.5,244.5,250.0,254.2,256.6,261.3,257.6,259.8,265.4,236.2,324.1
 "23000","Maine",1,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",4760.2,5020.8,5297.8,5672.5,6085.3,6345.8,6629.3,7000.1,7585.6,7878.8,8258.1,8675.6,8825.4,8949.1,9135.6,9162.4,9381.2,9620.7,9871.4,9942.2,10507.3,10961.6,11287.7,11701.3,12251.2
 "23000","Maine",1,SAPCE4,19,"...","   Housing ","Millions of current dollars",4105.6,4373.3,4638.6,4948.9,5322.5,5544.3,5782.3,6110.8,6570.7,6810.9,7115.2,7428.0,7670.1,7792.5,7927.5,8017.1,8240.9,8395.1,8704.1,8839.7,9340.5,9659.9,9927.3,10321.0,10663.5
 "23000","Maine",1,SAPCE4,20,"...","    Rental of tenant-occupied nonfarm housing ","Millions of current dollars",645.0,673.4,700.6,730.0,774.0,797.5,817.9,867.3,934.7,953.3,998.1,1055.9,1104.1,1148.5,1199.2,1242.6,1321.1,1347.0,1374.7,1399.3,1391.1,1423.9,1440.5,1447.4,1485.4
 "23000","Maine",1,SAPCE4,21,"...","    Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",3412.5,3651.3,3888.9,4155.5,4477.8,4674.5,4891.9,5170.3,5560.1,5789.9,6048.0,6293.7,6493.0,6584.2,6641.4,6692.2,6848.2,6977.3,7272.9,7364.1,7858.1,8172.6,8378.2,8751.4,9037.2
 "23000","Maine",1,SAPCE4,22,"...","    Rental value of farm dwellings ","Millions of current dollars",41.6,41.4,42.1,56.6,64.2,66.3,66.1,67.7,70.4,62.4,65.1,74.5,68.9,55.5,82.1,77.3,67.0,66.1,52.5,72.5,87.5,59.4,104.6,118.4,137.8
 "23000","Maine",1,SAPCE4,23,"...","    Group housing ","Millions of current dollars",6.6,7.1,6.9,6.8,6.6,6.1,6.4,5.6,5.5,5.3,4.0,3.9,4.1,4.2,4.7,5.0,4.6,4.7,4.1,3.9,3.8,4.0,4.0,3.8,3.2
 "23000","Maine",1,SAPCE4,24,"...","   Household utilities and fuels ","Millions of current dollars",654.6,647.6,659.2,723.6,762.8,801.5,847.0,889.3,1014.9,1067.9,1142.9,1247.6,1155.3,1156.6,1208.1,1145.3,1140.2,1225.5,1167.3,1102.5,1166.8,1301.7,1360.3,1380.3,1587.7
 "23000","Maine",1,SAPCE4,25,"...","    Water supply and sanitation ","Millions of current dollars",125.7,130.7,137.0,141.3,146.2,147.0,147.2,147.5,148.3,149.7,151.7,159.1,163.1,163.3,165.4,168.2,170.2,171.2,170.9,175.8,184.9,191.4,198.5,198.7,208.9
 "23000","Maine",1,SAPCE4,26,"...","    Electricity, gas, and other fuels ","Millions of current dollars",528.9,516.9,522.2,582.3,616.7,654.5,699.8,741.8,866.6,918.2,991.2,1088.5,992.2,993.3,1042.7,977.2,970.0,1054.3,996.4,926.7,981.9,1110.4,1161.9,1181.6,1378.8
 "23000","Maine",1,SAPCE4,27,"...","     Electricity ","Millions of current dollars",368.2,375.9,374.4,392.1,410.7,448.8,440.7,443.8,488.5,535.8,567.0,584.2,588.8,586.8,572.5,564.5,558.9,581.4,610.1,606.5,605.7,650.8,691.5,748.7,849.0
 "23000","Maine",1,SAPCE4,28,"...","     Natural gas ","Millions of current dollars",60.0,52.6,53.3,64.9,76.3,80.7,95.8,104.2,134.9,119.8,144.4,170.0,136.0,125.9,161.3,135.6,143.4,192.6,174.4,148.8,178.9,228.8,247.2,257.1,299.1
 "23000","Maine",1,SAPCE4,29,"...","     Fuel oil and other fuels ","Millions of current dollars",100.7,88.4,94.5,125.3,129.7,125.1,163.3,193.9,243.1,262.6,279.8,334.3,267.4,280.6,308.9,277.0,267.6,280.3,211.9,171.4,197.4,230.8,223.2,175.8,230.7
 "23000","Maine",1,SAPCE4,30,"...","  Furnishings, household equipment, and routine household maintenance ","Millions of current dollars",1084.9,1186.8,1309.4,1391.1,1471.4,1559.2,1584.2,1675.0,1763.2,1844.3,1917.2,1911.6,1819.4,1813.4,1824.3,1843.9,1922.2,2015.1,2052.6,2144.9,2245.4,2393.4,2508.7,2838.2,3272.9
 "23000","Maine",1,SAPCE4,31,"...","   Furniture, furnishings, and floor coverings ","Millions of current dollars",313.7,341.0,372.8,403.1,426.4,456.1,459.9,509.0,552.9,581.8,598.4,562.6,513.3,514.3,508.4,514.0,527.4,558.4,582.2,625.5,664.3,727.1,773.6,942.7,1156.2
 "23000","Maine",1,SAPCE4,32,"...","   Household textiles ","Millions of current dollars",110.4,118.5,134.4,133.5,136.5,144.7,136.8,155.5,172.8,187.6,200.2,200.6,188.9,195.3,203.4,212.9,221.2,235.4,239.0,254.3,268.4,275.7,291.6,312.3,367.5
 "23000","Maine",1,SAPCE4,33,"...","   Household appliances ","Millions of current dollars",119.9,132.4,154.3,164.6,181.5,195.1,212.3,221.6,232.4,241.7,245.9,259.9,262.2,259.3,260.6,257.5,276.0,282.8,284.3,287.7,292.8,301.0,302.6,346.7,413.2
 "23000","Maine",1,SAPCE4,34,"...","   Glassware, tableware, and household utensils ","Millions of current dollars",108.1,123.4,146.0,158.3,172.2,194.9,193.9,193.8,207.6,219.6,231.0,219.2,195.3,187.0,176.9,166.3,178.3,184.8,188.0,199.4,213.2,221.8,234.7,248.0,291.3
