GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "37000","North Carolina",5,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",147629.3,156200.5,168624.2,181767.1,188665.1,194259.5,203839.7,217557.4,233842.1,248748.5,264574.3,273254.0,269612.2,281630.4,293542.8,304180.4,314202.1,327458.8,337936.4,350566.6,367513.6,388305.2,406984.1,407610.3,463814.9
 "37000","North Carolina",5,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",146736.7,156021.4,168420.2,181348.0,188062.2,193578.4,203266.7,217222.4,233532.0,248029.4,263799.3,271873.0,268505.0,280727.4,292506.7,302966.5,312882.6,326066.5,336781.1,349126.8,366224.2,386964.8,406059.3,405075.1,461573.3
 "37000","North Carolina",5,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",13720.5,14109.2,15269.8,16091.0,16565.6,16774.0,17087.4,17756.5,19079.2,19827.4,21359.1,22537.0,22387.2,22853.0,23277.9,24991.8,25892.0,26813.5,27532.6,28087.6,29069.8,30106.2,31942.9,36129.0,38305.9
 "37000","North Carolina",5,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",11868.4,12163.1,13124.0,13713.2,14107.5,14252.4,14585.9,15196.6,16392.8,16990.3,18352.3,19519.1,19343.1,19662.6,20012.7,21583.8,22437.3,23226.7,23769.6,24176.9,25018.9,25829.0,27330.2,30618.3,32514.3
 "37000","North Carolina",5,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",1841.8,1936.9,2137.7,2370.9,2452.2,2516.1,2495.3,2554.2,2669.8,2809.1,2980.6,3014.5,3041.7,3186.5,3260.9,3403.4,3449.3,3581.8,3757.6,3906.7,4046.9,4270.3,4604.8,5501.5,5777.7
 "37000","North Carolina",5,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",10.4,9.2,8.1,6.9,5.9,5.6,6.2,5.7,16.6,28.0,26.2,3.3,2.3,3.9,4.2,4.6,5.4,4.9,5.4,3.9,4.0,6.8,7.9,9.2,13.9
 "37000","North Carolina",5,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",7184.8,7536.6,8049.2,8402.9,8429.9,8068.5,8222.7,8407.5,8890.5,9237.4,9508.7,9212.0,8923.2,9259.8,9529.6,9771.7,10127.4,10445.7,10695.8,11044.2,11136.1,11462.7,11936.0,11132.8,14539.9
 "37000","North Carolina",5,SAPCE4,8,"...","   Clothing ","Millions of current dollars",6058.0,6347.2,6783.4,7088.6,7104.6,6819.5,6929.0,7064.5,7423.2,7649.3,7838.5,7574.0,7332.2,7585.0,7792.8,7953.1,8222.2,8463.8,8635.9,8878.2,8956.9,9212.4,9557.7,8857.8,11493.9
 "37000","North Carolina",5,SAPCE4,9,"...","    Garments ","Millions of current dollars",5504.9,5766.3,6167.8,6446.9,6463.6,6189.7,6315.2,6469.4,6833.5,7057.2,7250.9,7002.1,6771.8,7025.8,7247.5,7406.5,7659.0,7890.1,8038.8,8267.0,8315.5,8546.3,8876.7,8228.5,10790.2
 "37000","North Carolina",5,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",3152.5,3317.9,3591.7,3812.1,3855.1,3698.8,3795.8,3912.0,4141.9,4298.0,4436.3,4232.1,4082.6,4240.1,4378.6,4483.1,4624.6,4771.4,4862.9,5018.2,5049.5,5200.4,5389.6,4972.5,6556.7
 "37000","North Carolina",5,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",2090.7,2166.8,2267.3,2307.0,2261.2,2143.2,2148.7,2161.2,2244.7,2272.4,2285.5,2225.2,2156.5,2241.8,2326.4,2402.4,2495.6,2572.9,2624.8,2693.1,2710.8,2784.6,2911.7,2711.6,3562.0
 "37000","North Carolina",5,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",261.8,281.5,308.8,327.8,347.3,347.7,370.7,396.1,446.9,486.8,529.0,544.9,532.7,543.9,542.5,521.0,538.8,545.8,551.1,555.6,555.2,561.3,575.3,544.4,671.5
 "37000","North Carolina",5,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",95.2,100.1,107.4,115.0,122.5,135.6,135.9,130.3,129.1,127.2,123.9,123.7,129.2,131.5,129.1,132.4,136.6,136.7,141.5,140.1,153.6,160.9,162.0,173.1,189.6
 "37000","North Carolina",5,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",457.8,480.9,508.2,526.8,518.4,494.2,477.9,464.9,460.6,464.9,463.7,448.2,431.2,427.8,416.2,414.2,426.6,437.0,455.7,471.1,487.9,505.3,519.0,456.2,514.0
 "37000","North Carolina",5,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",288.3,303.4,324.5,343.1,344.7,341.9,334.6,329.5,326.0,332.2,328.2,320.0,309.5,311.1,310.3,310.0,316.4,321.8,331.7,336.7,344.1,356.0,357.4,311.2,350.3
 "37000","North Carolina",5,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",169.5,177.5,183.7,183.7,173.7,152.4,143.3,135.4,134.6,132.7,135.5,128.2,121.7,116.7,105.9,104.2,110.3,115.2,124.0,134.4,143.8,149.2,161.6,145.0,163.7
 "37000","North Carolina",5,SAPCE4,17,"...","   Footwear ","Millions of current dollars",1126.8,1189.4,1265.8,1314.3,1325.4,1249.0,1293.7,1343.0,1467.2,1588.1,1670.2,1638.0,1591.0,1674.8,1736.7,1818.6,1905.2,1981.9,2059.9,2165.9,2179.1,2250.2,2378.3,2275.0,3046.0
 "37000","North Carolina",5,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",27000.5,28471.2,30047.9,32256.0,34667.1,35745.1,37598.2,40016.8,43323.5,45896.9,48988.6,52255.7,53506.2,55907.9,57184.4,57114.9,59376.9,61866.8,63042.9,64255.7,66605.2,70225.5,73356.6,76006.5,78771.0
 "37000","North Carolina",5,SAPCE4,19,"...","   Housing ","Millions of current dollars",21406.9,22874.5,24326.7,25961.4,27950.3,29181.0,30472.4,32285.8,34740.4,37006.3,39526.6,42256.5,43626.4,45074.8,46436.0,46975.3,48643.3,50391.5,51790.2,53427.8,55464.5,57652.6,60977.3,63689.6,65647.0
 "37000","North Carolina",5,SAPCE4,20,"...","    Rental of tenant-occupied nonfarm housing ","Millions of current dollars",4191.6,4412.4,4621.5,4841.8,5160.2,5317.0,5424.7,5714.6,6127.8,6386.6,6876.4,7295.9,7833.2,8077.4,8519.5,9277.2,9904.3,10389.1,10821.2,11321.1,11653.5,12287.4,12771.6,13286.3,13658.1
 "37000","North Carolina",5,SAPCE4,21,"...","    Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",17021.6,18250.7,19475.2,20846.6,22499.7,23577.6,24760.0,26238.9,28259.1,30105.7,32190.6,34559.1,35327.7,36600.9,37492.8,37262.1,38304.6,39517.2,40440.0,41644.0,43320.0,44943.7,47769.4,50000.2,51658.2
 "37000","North Carolina",5,SAPCE4,22,"...","    Rental value of farm dwellings ","Millions of current dollars",182.3,194.6,211.2,253.6,273.2,270.3,271.2,314.5,334.8,493.3,435.8,375.7,437.5,366.8,391.7,402.2,398.6,445.0,490.2,422.7,447.7,371.4,382.8,355.7,307.3
 "37000","North Carolina",5,SAPCE4,23,"...","    Group housing ","Millions of current dollars",11.3,16.8,18.8,19.4,17.1,16.1,16.5,17.8,18.8,20.6,23.9,25.8,27.9,29.7,31.9,33.8,35.9,40.3,38.9,40.0,43.3,50.0,53.5,47.3,23.3
 "37000","North Carolina",5,SAPCE4,24,"...","   Household utilities and fuels ","Millions of current dollars",5593.6,5596.6,5721.2,6294.6,6716.9,6564.1,7125.8,7731.0,8583.1,8890.6,9462.0,9999.2,9879.8,10833.1,10748.4,10139.7,10733.6,11475.3,11252.7,10828.0,11140.6,12573.0,12379.3,12316.9,13124.0
 "37000","North Carolina",5,SAPCE4,25,"...","    Water supply and sanitation ","Millions of current dollars",949.6,1003.3,1064.3,1106.9,1155.6,1170.2,1207.7,1351.6,1479.3,1614.0,1748.5,1860.8,1952.7,2115.2,2185.3,2246.4,2298.3,2411.5,2497.5,2540.4,2766.8,2879.8,2992.6,3012.3,3158.9
 "37000","North Carolina",5,SAPCE4,26,"...","    Electricity, gas, and other fuels ","Millions of current dollars",4644.0,4593.3,4656.9,5187.7,5561.3,5393.9,5918.1,6379.4,7103.8,7276.6,7713.5,8138.4,7927.1,8717.9,8563.1,7893.2,8435.3,9063.8,8755.1,8287.5,8373.8,9693.2,9386.7,9304.7,9965.1
 "37000","North Carolina",5,SAPCE4,27,"...","     Electricity ","Millions of current dollars",3099.4,3215.8,3240.8,3423.5,3617.8,3788.2,3910.4,4158.9,4530.7,4669.4,5062.4,5125.2,5397.7,6062.5,5902.6,5700.7,5937.3,6309.6,6566.9,6371.1,6192.3,6862.9,6694.7,6838.2,7239.1
 "37000","North Carolina",5,SAPCE4,28,"...","     Natural gas ","Millions of current dollars",919.1,819.8,840.7,1031.2,1223.4,937.4,1171.8,1286.2,1495.8,1471.7,1480.0,1646.7,1432.4,1471.0,1378.4,1081.2,1332.1,1495.9,1260.8,1116.1,1258.3,1511.2,1385.7,1298.1,1502.1
 "37000","North Carolina",5,SAPCE4,29,"...","     Fuel oil and other fuels ","Millions of current dollars",625.6,557.7,575.4,733.1,720.1,668.3,835.9,934.2,1077.2,1135.5,1171.1,1366.4,1097.0,1184.4,1282.0,1111.3,1165.9,1258.3,927.4,800.3,923.2,1319.0,1306.3,1168.4,1224.0
 "37000","North Carolina",5,SAPCE4,30,"...","  Furnishings, household equipment, and routine household maintenance ","Millions of current dollars",8867.6,9543.3,10304.3,10861.2,10920.3,11131.8,11520.5,12181.6,13163.5,13713.4,14194.1,13669.8,12444.2,12485.3,12728.3,13338.0,14208.4,14837.3,15583.1,16366.7,17123.9,18338.0,19455.8,22220.2,26536.5
