GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",13007.6,13667.1,14585.2,15553.0,16289.6,17008.2,18034.0,19348.3,20733.1,22092.7,23381.3,24526.6,24710.2,26007.3,27224.3,28218.1,29122.1,30225.5,31621.4,32806.0,34399.5,36112.8,37494.4,37476.5,42745.0
 "46000","South Dakota",4,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",12684.3,13217.1,14125.2,15067.0,15740.6,16414.2,17408.0,18686.3,20084.0,21405.7,22726.4,23773.8,23884.8,25128.5,26272.5,27168.8,28000.7,29089.1,30368.6,31436.0,32913.9,34538.2,35855.1,35563.1,40994.9
 "46000","South Dakota",4,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",1195.2,1220.3,1257.4,1308.1,1384.8,1423.6,1486.1,1598.3,1689.9,1757.6,1833.9,1919.8,1988.3,2031.0,2142.5,2198.0,2220.9,2292.9,2346.6,2394.6,2406.0,2464.1,2528.2,2752.0,2955.3
 "46000","South Dakota",4,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",1028.8,1046.1,1074.5,1109.5,1173.7,1202.6,1260.1,1354.9,1438.6,1489.2,1557.5,1636.9,1697.1,1724.2,1826.3,1873.0,1899.8,1963.0,2007.0,2043.4,2050.2,2099.6,2159.7,2344.3,2504.1
 "46000","South Dakota",4,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",158.1,166.7,176.3,192.7,206.1,215.3,220.6,236.3,244.8,260.8,271.0,272.6,282.2,296.2,306.2,315.5,312.8,320.2,328.6,336.0,341.2,351.1,356.6,397.6,433.5
 "46000","South Dakota",4,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",8.3,7.5,6.7,5.9,5.1,5.7,5.4,7.1,6.5,7.6,5.4,10.3,8.9,10.5,10.0,9.6,8.3,9.6,10.9,15.2,14.7,13.4,11.9,10.1,17.8
 "46000","South Dakota",4,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",587.4,592.6,607.9,609.5,597.0,600.7,620.8,627.1,674.2,689.7,697.8,705.4,711.2,738.5,763.9,795.6,818.4,850.2,873.0,898.1,914.9,945.1,950.0,926.6,1189.8
 "46000","South Dakota",4,SAPCE4,8,"...","   Clothing ","Millions of current dollars",496.3,500.4,513.3,514.4,504.0,507.9,523.5,527.7,562.7,570.8,574.7,580.5,588.4,606.6,621.9,643.0,659.4,684.5,701.6,719.3,734.7,758.4,760.3,735.3,938.5
 "46000","South Dakota",4,SAPCE4,9,"...","    Garments ","Millions of current dollars",462.7,466.0,477.1,476.4,466.2,469.5,484.8,488.7,523.3,531.4,535.7,541.0,547.9,566.2,582.8,603.0,617.6,641.4,658.0,674.2,686.2,707.4,708.5,685.1,885.3
 "46000","South Dakota",4,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",250.2,252.7,260.0,259.5,256.2,260.2,269.8,273.2,295.2,301.6,306.6,305.6,308.6,319.1,327.2,337.9,345.4,358.6,367.6,377.1,384.2,398.4,398.5,381.5,495.3
