GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "53000","Washington",8,SAPCE4,1,"...","Personal consumption expenditures ","Millions of current dollars",119075.9,131060.1,140900.9,151834.2,156491.9,162268.0,171444.6,182926.2,195074.7,208972.1,221439.0,231326.8,229024.1,236110.1,247059.0,256411.0,265860.5,278807.3,291410.7,306826.3,325712.5,347152.4,361957.5,356590.2,400486.8
 "53000","Washington",8,SAPCE4,2,"..."," Household consumption expenditures ","Millions of current dollars",116567.6,127999.0,137557.9,148351.1,152771.0,158039.0,166953.6,178391.1,190574.6,203756.0,216086.0,225103.8,222466.6,229253.9,239419.9,247583.5,256430.5,268930.8,280617.4,295168.0,313368.9,334072.5,348556.4,341960.2,387639.4
 "53000","Washington",8,SAPCE4,3,"...","  Food and beverages purchased for off-premises consumption ","Millions of current dollars",10856.2,11428.8,12029.4,12766.6,13207.9,13674.4,14547.8,15566.9,16827.5,17922.7,18854.9,19754.0,19696.5,19987.5,20911.7,21453.1,22089.0,22668.9,23042.8,23279.5,24008.3,24918.8,25745.8,28993.2,30287.1
 "53000","Washington",8,SAPCE4,4,"...","   Food and nonalcoholic beverages purchased for off-premises consumption ","Millions of current dollars",9166.4,9613.4,10085.5,10619.0,10962.2,11314.8,12114.6,13000.1,14080.9,14975.2,15812.8,16695.8,16650.7,16842.1,17705.0,18160.5,18734.5,19224.8,19490.2,19678.1,20239.6,20949.7,21603.8,24122.3,25214.6
 "53000","Washington",8,SAPCE4,5,"...","   Alcoholic beverages purchased for off-premises consumption ","Millions of current dollars",1680.1,1806.6,1935.9,2140.6,2239.5,2354.2,2428.9,2558.6,2733.3,2928.8,3027.1,3047.4,3034.7,3134.2,3194.0,3281.2,3340.2,3429.8,3536.0,3587.9,3757.3,3958.4,4129.7,4849.3,5052.6
 "53000","Washington",8,SAPCE4,6,"...","   Food produced and consumed on farms ","Millions of current dollars",9.8,8.9,8.0,7.1,6.3,5.4,4.3,8.1,13.3,18.7,15.0,10.8,11.1,11.2,12.7,11.5,14.4,14.3,16.6,13.6,11.4,10.8,12.3,21.5,19.9
 "53000","Washington",8,SAPCE4,7,"...","  Clothing, footwear, and related services ","Millions of current dollars",4950.5,5275.4,5485.4,5581.0,5510.3,5459.4,5564.4,5844.0,6311.4,6619.8,6843.9,6466.2,5931.6,6529.6,7186.7,7381.3,7708.7,7765.2,7772.4,7919.5,8325.8,8889.4,9160.0,8381.4,10029.1
 "53000","Washington",8,SAPCE4,8,"...","   Clothing ","Millions of current dollars",4159.1,4366.1,4570.0,4689.2,4617.6,4599.4,4656.7,4870.9,5229.3,5443.6,5606.0,5285.6,4850.7,5318.7,5830.8,5966.8,6204.0,6251.3,6250.5,6344.8,6681.4,7124.4,7323.5,6662.1,7941.6
 "53000","Washington",8,SAPCE4,9,"...","    Garments ","Millions of current dollars",3837.3,4005.2,4186.5,4301.5,4230.0,4211.7,4273.2,4494.6,4866.1,5076.3,5247.3,4927.7,4503.2,4972.2,5488.5,5624.9,5848.0,5879.3,5871.4,5956.7,6265.0,6673.4,6855.4,6237.4,7502.0
 "53000","Washington",8,SAPCE4,10,"...","     Women's and girls' clothing ","Millions of current dollars",2177.2,2280.2,2412.2,2510.8,2489.1,2490.7,2531.2,2685.8,2919.3,3075.8,3201.5,2954.8,2679.4,2981.5,3309.5,3396.4,3530.4,3541.1,3523.8,3585.5,3784.6,4044.6,4140.6,3730.1,4493.5
 "53000","Washington",8,SAPCE4,11,"...","     Men's and boys' clothing ","Millions of current dollars",1496.8,1537.9,1578.4,1586.0,1529.2,1507.2,1510.3,1556.2,1642.4,1687.1,1706.7,1626.9,1498.1,1643.8,1816.4,1878.7,1959.6,1977.9,1983.3,2007.5,2102.2,2234.8,2312.7,2124.4,2568.3
 "53000","Washington",8,SAPCE4,12,"...","     Children's and infants' clothing ","Millions of current dollars",163.3,187.0,195.9,204.7,211.7,213.9,231.7,252.5,304.4,313.5,339.0,346.0,325.7,347.0,362.6,349.8,358.0,360.3,364.3,363.6,378.1,394.0,402.0,382.9,440.1
 "53000","Washington",8,SAPCE4,13,"...","    Other clothing materials ","Millions of current dollars",115.2,130.8,142.9,143.6,146.4,153.7,152.4,147.7,137.2,135.4,128.7,129.7,128.0,128.2,129.2,133.3,137.0,139.1,142.0,138.5,151.2,162.7,167.5,174.8,187.2
 "53000","Washington",8,SAPCE4,14,"...","    Cleaning, repair, and rental of clothing ","Millions of current dollars",206.6,230.1,240.5,244.1,241.2,233.9,231.1,228.7,226.0,231.9,230.0,228.1,219.5,218.3,213.1,208.6,218.9,232.9,237.1,249.6,265.3,288.3,300.6,249.9,252.5
 "53000","Washington",8,SAPCE4,15,"...","     Laundry and dry cleaning services ","Millions of current dollars",122.5,137.3,145.0,148.6,147.7,148.1,146.7,145.7,145.1,152.5,151.9,150.7,147.9,149.4,152.7,153.1,161.9,172.9,176.5,182.6,193.6,209.5,212.8,175.5,174.4
 "53000","Washington",8,SAPCE4,16,"...","     Clothing repair, rental, and alterations ","Millions of current dollars",84.1,92.8,95.5,95.6,93.5,85.9,84.5,83.0,80.9,79.4,78.1,77.5,71.5,68.9,60.4,55.5,57.0,60.0,60.6,67.0,71.7,78.8,87.7,74.4,78.1
 "53000","Washington",8,SAPCE4,17,"...","   Footwear ","Millions of current dollars",791.4,909.3,915.4,891.8,892.7,860.0,907.7,973.0,1082.1,1176.2,1237.9,1180.6,1080.9,1210.9,1355.8,1414.5,1504.7,1513.9,1521.9,1574.7,1644.4,1764.9,1836.5,1719.3,2087.5
 "53000","Washington",8,SAPCE4,18,"...","  Housing, utilities, and fuels ","Millions of current dollars",22483.1,23790.0,25128.3,26933.2,28699.1,29789.3,30986.9,32683.6,34888.0,37566.4,40027.8,43955.6,45254.1,45829.4,47491.4,48194.7,49801.4,52242.6,53902.5,57776.9,62185.8,66425.6,69309.5,73242.1,77221.6
 "53000","Washington",8,SAPCE4,19,"...","   Housing ","Millions of current dollars",18800.2,20033.5,21245.4,22624.5,24295.6,25268.8,26250.0,27691.8,29613.5,31892.6,33787.6,37268.6,38661.3,39198.8,40542.5,41235.3,42461.8,44656.2,46568.8,50165.4,53684.5,57575.1,60597.7,64511.4,68058.5
 "53000","Washington",8,SAPCE4,20,"...","    Rental of tenant-occupied nonfarm housing ","Millions of current dollars",4937.5,5189.3,5422.8,5667.6,6027.6,6164.1,6245.3,6555.6,6963.7,7230.8,7489.5,8433.5,9135.6,9509.8,10012.3,10391.4,10976.4,11608.3,12169.3,13268.6,14086.1,15563.8,16287.9,17445.0,18453.6
 "53000","Washington",8,SAPCE4,21,"...","    Imputed rental of owner-occupied nonfarm housing ","Millions of current dollars",13594.9,14570.8,15541.1,16626.7,17935.5,18767.3,19665.4,20779.4,22291.7,24285.1,25947.3,28460.8,29096.1,29359.0,30147.5,30440.5,31131.1,32580.0,34007.6,36476.1,39251.5,41630.8,43856.8,46614.7,49133.4
 "53000","Washington",8,SAPCE4,22,"...","    Rental value of farm dwellings ","Millions of current dollars",246.1,249.5,257.9,306.5,309.0,315.5,314.7,331.0,330.0,346.5,317.9,337.6,392.0,291.8,340.3,353.9,305.5,417.9,338.5,363.5,285.5,314.3,384.6,388.4,420.5
 "53000","Washington",8,SAPCE4,23,"...","    Group housing ","Millions of current dollars",21.7,23.9,23.7,23.7,23.5,21.9,24.6,25.9,28.1,30.2,32.9,36.6,37.7,38.2,42.4,49.5,48.8,50.0,53.5,57.2,61.4,66.1,68.3,63.3,51.1
 "53000","Washington",8,SAPCE4,24,"...","   Household utilities and fuels ","Millions of current dollars",3682.9,3756.5,3882.9,4308.7,4403.5,4520.4,4736.9,4991.8,5274.6,5673.8,6240.2,6687.1,6592.8,6630.6,6949.0,6959.4,7339.6,7586.4,7333.7,7611.5,8501.3,8850.6,8711.9,8730.7,9163.1
 "53000","Washington",8,SAPCE4,25,"...","    Water supply and sanitation ","Millions of current dollars",1222.5,1287.7,1358.9,1406.2,1463.5,1553.1,1650.1,1652.3,1701.7,1841.7,1932.9,2047.0,2147.0,2290.7,2374.1,2447.9,2632.8,2802.5,2911.1,3037.9,3360.4,3585.6,3655.4,3706.1,3911.6
 "53000","Washington",8,SAPCE4,26,"...","    Electricity, gas, and other fuels ","Millions of current dollars",2460.4,2468.8,2524.1,2902.5,2940.0,2967.3,3086.8,3339.5,3572.9,3832.2,4307.3,4640.1,4445.8,4339.8,4574.8,4511.5,4706.8,4783.9,4422.6,4573.5,5141.0,5265.0,5056.5,5024.5,5251.4
 "53000","Washington",8,SAPCE4,27,"...","     Electricity ","Millions of current dollars",1755.0,1815.2,1819.8,1912.9,2015.2,2098.1,2165.6,2294.1,2355.2,2530.9,2803.5,3004.0,3030.8,3052.7,3195.2,3255.1,3470.3,3512.6,3402.3,3569.1,3948.4,3971.1,3850.5,3973.4,4079.6
 "53000","Washington",8,SAPCE4,28,"...","     Natural gas ","Millions of current dollars",428.9,381.4,389.1,474.9,561.7,593.0,594.6,683.9,815.8,866.1,1042.5,1095.1,1013.3,884.4,938.2,852.2,823.3,833.6,689.9,699.1,821.2,862.4,795.4,724.7,796.3
 "53000","Washington",8,SAPCE4,29,"...","     Fuel oil and other fuels ","Millions of current dollars",276.5,272.1,315.1,514.7,363.2,276.3,326.6,361.5,401.9,435.2,461.4,540.9,401.6,402.7,441.4,404.2,413.2,437.7,330.4,305.3,371.3,431.4,410.5,326.4,375.5
 "53000","Washington",8,SAPCE4,30,"...","  Furnishings, household equipment, and routine household maintenance ","Millions of current dollars",5851.3,6772.8,7203.2,7658.6,7729.5,7974.9,8418.5,8985.5,9527.9,10295.6,10795.3,10504.3,9365.3,9388.2,9501.7,9790.9,10382.5,10914.3,11409.1,12095.0,12894.6,14012.2,14590.4,16128.3,18319.6
 "53000","Washington",8,SAPCE4,31,"...","   Furniture, furnishings, and floor coverings ","Millions of current dollars",1785.4,2088.8,2248.6,2387.8,2389.7,2461.6,2604.0,2850.3,3101.8,3414.2,3587.5,3257.8,2714.1,2725.4,2692.2,2769.3,2934.5,3139.9,3433.4,3687.2,4001.9,4439.2,4630.8,5310.5,6358.3
 "53000","Washington",8,SAPCE4,32,"...","   Household textiles ","Millions of current dollars",570.6,644.0,687.5,685.2,690.2,735.1,778.8,846.9,933.8,1006.4,1082.5,1079.9,980.6,1039.3,1082.0,1132.2,1222.5,1254.0,1216.5,1267.3,1352.0,1438.6,1470.2,1550.0,1749.5
 "53000","Washington",8,SAPCE4,33,"...","   Household appliances ","Millions of current dollars",741.7,871.0,940.7,1033.4,1050.8,1079.3,1189.3,1274.0,1276.8,1426.5,1455.6,1479.7,1363.8,1351.0,1389.0,1428.4,1505.5,1539.6,1606.1,1774.8,1803.7,1871.0,1901.7,2150.9,2549.8
