GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "02000","Alaska",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",41095.9,40590.5,39406.6,40958.7,42979.0,42355.3,44055.0,45657.1,49190.2,51721.0,51252.1,56215.1,54601.5,55280.3,58283.6,55354.3,54188.2,54740.8,54246.6,54278.7,53327.0,53433.8,50705.2,50869.4
 "02000","Alaska",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32874.4,32771.5,35717.2,36862.9,37973.4,37516.9,38785.7,39586.9,38320.5,38217.1,38939.2,39945.8,41161.8,40052.1
 "02000","Alaska",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27132.4,27160.9,28769.3,29231.9,30101.0,30479.9,30847.5,31106.5,31276.5,31655.1,32365.2,33391.5,31986.2,32965.8
 "02000","Alaska",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53301.5,54899.6,54728.2,50475.2,57349.4
 "02000","Alaska",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",18136.0,18712.5,20122.4,21309.2,22325.3,23340.3,24404.3,26061.2,27793.4,29869.1,32907.7,33028.4,35452.0,37981.8,39266.0,38978.0,41210.0,42555.1,41837.4,42431.4,43981.2,45056.8,45965.1,48219.2
 "02000","Alaska",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16167.7,16724.9,17963.3,18990.8,20286.8,21418.5,22518.7,23909.6,25373.5,27079.9,29740.1,30563.8,32781.5,34900.4,36214.2,35601.4,37647.8,38714.9,38255.9,39036.5,40765.9,41593.3,42437.8,44123.9
 "02000","Alaska",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",14922.5,15857.8,17079.7,18093.4,19397.3,20522.0,21809.9,23313.9,24497.2,25924.9,27186.6,27410.3,28597.2,30162.4,31169.8,31709.4,32820.9,33496.5,34218.2,35232.3,36639.5,37743.5,35831.5,39807.1
 "02000","Alaska",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),47820,46890,50023,51021,51940,50832,52581,53559,51547,51509,52783,54361,56198,54666
 "02000","Alaska",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39468,38863,40292,40459,41172,41297,41819,42085,42072,42665,43872,45442,43671,44994
 "02000","Alaska",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62756,65813
 "02000","Alaska",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26080,26769,28606,29967,31583,33032,34156,35849,37574,39806,43261,43732,45912,48304,49533,48237,51038,52379,51460,52613,55260,56603,57940,60223
 "02000","Alaska",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24071,25381,27199,28551,30198,31649,33081,34956,36276,38108,39547,39219,40051,41747,42634,42963,44495,45319,46029,47486,49666,51364,48921,54331
 "02000","Alaska",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.228,107.289,103.817,105.107,103.550,102.644,103.412,104.430,105.048,104.947,104.514,102.820,100.789,104.439
 "02000","Alaska",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.200,100.918,99.402,103.183,103.550,104.034,106.397,107.683,109.406,111.300,113.207,113.033,112.022,120.753
 "02000","Alaska",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",382166,381307,389734,394565,402187,405621,413864,421419,431320,439825,443538,442447,443904,450364,459222,461110,461327,461649,457120,455499,454830,454785,430824,441257
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
