GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "09000","Connecticut",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",196391.1,202351.7,216157.6,218135.3,216677.7,219186.0,233426.5,238549.5,248233.8,257953.0,257756.0,244894.7,244354.7,238542.4,240911.9,236050.6,235780.9,242706.5,243286.7,247035.9,249074.8,251568.2,235234.9,246555.9
 "09000","Connecticut",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),210068.8,207360.5,218099.9,216526.2,217654.9,209363.6,216507.8,222029.2,223770.1,222843.5,234057.1,239455.9,243003.3,253919.7
 "09000","Connecticut",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),140936.9,137852.0,143715.2,143484.1,144931.2,145260.4,148397.9,151337.9,153123.5,154003.8,160903.6,162109.0,154420.4,169604.7
 "09000","Connecticut",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",145475.5,152287.5,165614.3,171216.6,173248.3,178702.2,195354.9,205214.6,219768.4,234540.7,238936.8,233290.7,234700.0,233158.7,240911.9,241517.4,246597.0,259487.8,263670.3,271443.2,279923.0,288536.3,276223.3,298395.2
 "09000","Connecticut",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",127302.1,134439.0,146946.4,155003.0,154596.4,156784.6,165149.4,174430.0,188872.6,203467.2,216174.5,212582.6,221058.5,226907.1,231171.1,226175.8,236756.6,243164.6,247777.4,252571.3,263357.6,272459.4,282486.1,300323.5
 "09000","Connecticut",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",104522.5,110077.7,119344.6,126263.7,131399.6,134728.5,141567.9,147115.4,158611.4,168880.2,182142.1,186765.3,193205.4,194991.0,198380.0,189518.7,198746.3,203657.5,209623.0,213212.7,223772.7,231931.9,241345.9,252520.3
 "09000","Connecticut",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",88312.4,94399.0,100843.2,105200.4,109418.2,114994.9,121997.7,129335.2,135787.1,141447.7,145176.0,141512.1,145876.8,150579.2,154149.3,157135.5,162500.9,166029.8,169905.3,174977.7,181460.1,184842.1,180077.0,201202.1
 "09000","Connecticut",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),59248,58218,60917,60243,60372,57990,59897,61470,62026,61770,64812,66384,67496,70424
 "09000","Connecticut",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39750,38703,40141,39921,40200,40235,41054,41899,42444,42689,44555,44941,42891,47039
 "09000","Connecticut",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",37827,39700,43070,45153,44697,44997,47238,49738,53696,57684,60970,59684,61743,63132,64121,62647,65498,67321,68680,70011,72926,75533,78463,83294
 "09000","Connecticut",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",31058,32506,34980,36781,37991,38667,40493,41950,45093,47878,51372,52436,53964,54252,55025,52494,54983,56384,58105,59101,61964,64298,67036,70036
 "09000","Connecticut",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",26242,27876,29557,30645,31635,33003,34895,36880,38604,40101,40946,39730,40745,41895,42757,43524,44956,45966,47095,48502,50248,51243,50018,55803
 "09000","Connecticut",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),109.205,109.135,106.013,106.902,106.360,106.730,106.431,106.393,106.540,107.134,104.116,103.721,104.922,102.603
 "09000","Connecticut",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.008,102.655,101.504,104.945,106.360,108.175,109.503,109.708,110.960,113.619,112.776,114.023,116.615,118.630
 "09000","Connecticut",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2036825,2070018,2118177,2125253,2117734,2112290,2144331,2171980,2202108,2245720,2256043,2196161,2171933,2206269,2223221,2246561,2266029,2288113,2301306,2300236,2314488,2298065,2217497,2282570
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
