GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "11000","District of Columbia",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",81214.4,84756.2,85355.9,88440.7,91141.5,92921.0,97463.5,99480.7,99805.5,102738.7,106768.9,105893.9,109986.5,111646.5,112157.0,112332.4,114553.6,116808.4,119644.3,120759.4,123680.5,124597.2,122485.3,126983.0
 "11000","District of Columbia",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33511.5,33775.0,35446.5,37571.3,38903.1,38121.6,40155.8,43487.4,45795.5,46756.8,46973.0,48432.6,50237.2,50398.4
 "11000","District of Columbia",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),31291.8,30696.5,31301.8,32139.2,33181.8,33363.9,34214.6,35830.8,37420.6,38554.6,39360.6,40786.4,38602.0,41045.4
 "11000","District of Columbia",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",54815.3,58819.2,61092.9,65442.9,69919.5,73957.1,80140.1,84867.6,88125.0,93785.4,99496.5,100446.0,106146.9,109730.4,112157.0,114540.1,119414.6,124604.7,129648.6,133243.5,139722.5,143990.8,144720.0,153670.5
 "11000","District of Columbia",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",21547.5,22693.4,24897.7,25778.3,25876.1,26157.6,28437.6,30028.4,31846.9,34363.2,35329.0,35618.5,38324.4,41395.0,43010.6,43697.3,46780.2,50337.3,52684.5,54464.8,56707.5,58203.2,61925.5,64644.7
 "11000","District of Columbia",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",18272.1,19108.8,20872.6,21665.2,22369.5,22665.6,24621.9,25664.1,27148.3,28936.9,29971.5,31056.3,33640.2,35814.4,36932.9,37172.9,39789.0,42513.8,44766.0,46276.4,48015.5,48934.0,52510.2,53823.9
 "11000","District of Columbia",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",19755.8,21050.0,22397.9,23136.4,24138.4,25431.2,27219.5,28744.2,30129.2,31729.8,33021.3,32415.1,33892.4,35460.9,36737.2,38295.1,39914.0,41546.1,43139.6,45021.0,47626.2,49118.1,47733.5,52805.9
 "11000","District of Columbia",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),57755,57030,58609,60815,61640,59126,61348,65332,67963,68665,68510,70457,72798,75216
 "11000","District of Columbia",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53929,51832,51756,52022,52575,51747,52271,53830,55534,56619,57408,59334,55937,61257
 "11000","District of Columbia",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63368,67005,68148,67774,71469,75623,78186,79984,82708,84671,89735,96477
 "11000","District of Columbia",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",32327,33512,36488,37711,39028,39869,43367,45252,47572,50377,51654,52440,55622,57971,58518,57654,60788,63870,66435,67959,70031,71186,76091,80328
 "11000","District of Columbia",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",34952,36916,39154,40272,42115,44734,47942,50683,52795,55240,56910,54734,56040,57399,58208,59395,60979,62416,64021,66116,69463,71454,69170,78809
 "11000","District of Columbia",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),111.876,112.264,113.086,112.393,110.715,113.246,113.385,112.448,110.691,110.107,111.709,109.546,111.256,111.271
 "11000","District of Columbia",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),105.527,105.599,108.276,110.335,110.715,114.780,116.658,115.951,115.283,116.772,121.000,120.428,123.655,128.652
 "11000","District of Columbia",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",698434,711478,735304,741793,757415,754602,763470,769796,777525,788410,794912,795912,809137,826761,834413,848226,860669,873232,892766,902812,914209,915189,865878,869482
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
