GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "12000","Florida",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",587970.7,615238.2,642708.2,660659.5,689974.0,722374.5,769140.5,815755.8,839963.8,850048.6,816070.2,769061.1,775039.5,772021.3,778545.0,794842.1,817233.5,852242.4,881539.2,912687.4,941626.7,965672.5,950164.4,1029575.6
 "12000","Florida",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),761128.9,724751.6,760220.1,777404.8,791477.4,785341.8,829811.8,880225.7,904603.2,958599.0,1002847.5,1063735.1,1107489.2,1160013.8
 "12000","Florida",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),666726.3,655278.8,667768.5,679275.7,691302.8,705794.5,733711.4,767136.1,791447.7,816441.0,851835.6,878524.3,853048.5,941446.9
 "12000","Florida",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",429138.4,458058.9,490429.8,519058.6,553010.3,590483.1,646630.6,705851.9,750523.8,782712.5,763341.5,735421.0,746928.9,755240.0,778545.0,811751.7,851692.4,908519.9,953352.5,1003144.0,1057255.4,1111392.2,1116726.8,1255558.3
 "12000","Florida",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",416327.8,436360.7,472851.8,497538.7,514203.2,540473.6,588257.4,642291.2,697349.7,727260.7,729994.1,686755.8,732457.5,771409.5,800551.7,802975.7,861412.3,919834.9,954069.7,1023855.3,1088794.7,1165093.1,1235793.4,1356318.6
 "12000","Florida",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",365481.7,382693.1,413364.1,437358.8,461964.5,492682.9,533007.8,572767.0,621445.7,648299.1,656289.0,632713.4,673929.1,701600.9,726910.8,720919.2,770777.3,817210.6,857117.4,903019.4,974973.0,1042644.2,1111276.3,1199559.1
 "12000","Florida",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",358211.5,380822.1,412352.5,432799.7,448027.0,474147.6,513638.0,557249.0,601391.8,630844.7,640082.4,621753.2,644318.9,675005.8,700219.1,722610.0,762704.3,803038.6,836468.9,874165.4,926954.3,964269.4,954880.3,1104068.5
 "12000","Florida",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41081,38855,40345,40832,41069,40258,41919,43693,44045,45928,47453,49813,51344,53258
 "12000","Florida",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35986,35131,35439,35678,35871,36180,37065,38080,38536,39117,40307,41140,39548,43223
 "12000","Florida",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49055,51520,54560,57292,62270
 "12000","Florida",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23600,24283,25759,26738,27680,28974,30606,32102,34207,35295,35423,33921,35766,36851,37719,36956,38937,40565,41733,43265,46134,48825,51520,55073
 "12000","Florida",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23130,24165,25696,26460,26845,27884,29493,31232,33104,34345,34548,33333,34194,35454,36334,37042,38529,39862,40728,41883,43862,45155,44269,50689
 "12000","Florida",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.779,100.873,100.774,101.224,101.290,101.015,101.035,101.517,101.479,100.959,100.463,99.843,100.713,101.430
 "12000","Florida",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.004,94.884,96.488,99.371,101.290,102.382,103.952,104.680,105.688,107.070,108.818,109.760,111.937,117.274
 "12000","Florida",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",8317201,8577884,8881279,8938947,9055715,9283397,9644326,10067189,10383866,10531260,10269499,9841883,9805154,10036634,10249024,10539255,10937166,11367160,11682235,12098446,12556075,12761585,12720098,13221011
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
