GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "13000","Georgia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",352472.3,377127.4,389727.3,394317.3,399413.4,411685.6,428555.2,447152.9,453032.1,455904.0,445764.6,428740.7,433727.2,441626.7,447764.7,454908.9,470009.7,489182.3,506816.2,523805.3,538604.6,557364.4,537615.8,575292.2
 "13000","Georgia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),377128.3,380311.4,371842.1,391834.2,388674.5,390997.7,411246.1,436653.2,447343.6,465347.3,481891.4,504912.8,533033.1,545636.2
 "13000","Georgia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),314573.7,315539.0,311177.6,321061.5,320127.0,328386.8,339990.6,353783.0,363854.3,376182.3,390255.1,400908.4,390983.9,424021.6
 "13000","Georgia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",265347.2,289187.9,305572.0,317475.5,327051.3,342576.2,364782.0,389537.7,406015.6,419606.3,416377.6,409590.8,418091.3,431653.9,447764.7,464752.8,490079.3,521008.2,547546.7,573777.2,602366.4,637992.5,625425.7,691626.9
 "13000","Georgia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",205649.7,219284.1,237369.7,249320.7,256380.0,266411.4,280916.7,298525.8,318543.8,333611.5,336828.3,329744.6,338275.5,361250.6,371456.8,377202.2,402790.9,427437.4,444023.7,469213.5,493507.4,522393.0,557601.2,602464.0
 "13000","Georgia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",178051.7,189654.8,204916.3,216246.9,227959.2,239385.3,253112.9,266500.8,282541.3,294897.7,299345.4,300374.9,307153.0,325286.6,334879.0,336563.2,359276.9,379652.7,395101.8,416457.9,441209.7,466143.8,500696.2,535164.7
 "13000","Georgia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",161348.1,174370.5,188692.1,197679.7,205247.2,216651.8,230226.1,247108.9,262158.8,275892.1,281234.7,273949.3,283499.5,296427.3,306379.2,317225.2,333460.4,346913.3,361907.9,380240.9,400575.6,415665.1,410296.0,469588.7
 "13000","Georgia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39677,39530,38285,39961,39232,39176,40808,42845,43355,44623,45753,47441,49696,50524
 "13000","Georgia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33096,32797,32039,32743,32313,32903,33737,34714,35263,36073,37052,37669,36453,39263
 "13000","Georgia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34829,36842,37495,37794,39969,41941,43033,44993,46855,49083,51987,55786
 "13000","Georgia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22643,23571,24907,25814,26793,27762,28864,29857,30859,31540,31494,31221,31624,33174,33802,33722,35651,37252,38292,39935,41890,43798,46681,49554
 "13000","Georgia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20519,21672,22935,23598,24123,25125,26254,27684,28633,29507,29589,28475,29189,30231,30926,31784,33089,34040,35075,36462,38032,39055,38253,43482
 "13000","Georgia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.780,92.300,95.152,94.049,95.706,95.311,95.327,95.095,95.503,95.309,94.763,94.313,94.417,95.784
 "13000","Georgia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.402,86.819,91.105,92.327,95.706,96.601,98.079,98.058,99.465,101.079,102.645,103.681,104.939,110.746
 "13000","Georgia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4607959,4728750,4860810,4871814,4858288,4895247,5021690,5195833,5358038,5490688,5450887,5247022,5211352,5325616,5384572,5496783,5670735,5832585,5973742,6128050,6287353,6399395,6326942,6541518
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
