GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "15000","Hawaii",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",54404.8,54852.1,55891.1,55678.5,56990.8,59978.8,63318.1,67123.9,68759.3,70080.4,70460.8,67927.5,69628.1,70646.6,71905.3,73063.2,73512.4,75869.5,77303.9,78947.4,79845.3,79213.4,70109.4,74547.2
 "15000","Hawaii",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54073.7,52489.3,53937.0,54991.0,56425.2,55295.9,58020.5,60244.1,62241.1,63795.1,63589.7,65080.5,66553.5,67312.3
 "15000","Hawaii",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45285.6,44100.3,45523.9,46270.5,47457.9,47315.7,48787.4,49652.2,51013.8,52234.7,53750.2,54559.9,51114.6,54126.6
 "15000","Hawaii",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",37622.9,38990.6,41096.8,42585.4,44644.2,48166.1,52353.5,57369.4,60846.5,64163.6,65678.2,64549.7,66872.9,69083.9,71905.3,74554.9,76773.3,81230.3,83914.4,87217.4,90330.8,91912.7,82535.5,91096.1
 "15000","Hawaii",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",32514.6,33608.1,35579.0,37058.6,38747.1,40621.4,43654.7,47022.9,50399.0,53272.1,55911.1,55326.0,56751.1,59288.1,61557.0,62521.2,66036.7,69109.1,71571.7,74542.8,76168.3,79699.7,83109.5,87857.7
 "15000","Hawaii",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",28650.1,29573.0,31233.2,32589.1,34700.8,36620.5,39338.4,41905.4,44825.6,47362.6,49986.9,50552.3,51981.2,53846.1,55883.1,56153.7,59271.7,61526.3,63642.5,66326.1,68041.7,70982.4,74141.3,77267.5
 "15000","Hawaii",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",27558.7,28598.4,30439.2,31631.0,32783.4,34908.7,37388.2,40553.3,43302.6,45225.8,46870.5,46545.7,47968.9,49957.9,51847.5,53570.0,55604.6,57056.7,58783.7,61184.9,64529.5,66957.1,64031.5,70859.4
 "15000","Hawaii",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40589,38976,39512,39706,40160,38854,40455,41649,42718,43744,43549,44666,45839,46694
 "15000","Hawaii",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33993,32747,33349,33410,33777,33247,34017,34326,35013,35817,36811,37446,35205,37547
 "15000","Hawaii",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41574,42809,43812,43931,46044,47777,49122,51114,52164,54700,57241,60947
 "15000","Hawaii",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23576,24434,25738,26583,27993,29269,30888,32416,34225,35999,37522,37537,38080,38880,39774,39457,41327,42535,43680,45480,46598,48717,51065,53600
 "15000","Hawaii",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22678,23629,25083,25801,26446,27901,29357,31370,33062,34375,35182,34562,35140,36072,36902,37641,38770,39445,40346,41955,44193,45954,44102,49155
 "15000","Hawaii",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),109.726,112.207,110.051,109.982,109.249,111.706,110.776,111.441,110.641,110.449,110.836,111.634,112.709,113.227
 "15000","Hawaii",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.500,105.545,105.371,107.969,109.249,113.218,113.973,114.913,115.231,117.135,120.055,122.722,125.270,130.914
 "15000","Hawaii",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",738175,738111,749439,752548,757721,773638,797263,819997,842413,864625,858402,829897,824460,835012,849156,868122,882732,901121,914893,921123,924355,914163,817748,850603
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
