GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "19000","Iowa",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",114087.4,116523.0,121924.2,120449.8,123298.2,128962.3,139978.1,144577.3,146555.3,152861.8,149881.4,146182.8,150148.4,152435.2,158538.4,158480.8,166619.2,171126.5,170389.1,170887.5,173547.7,173722.0,170957.4,179753.0
 "19000","Iowa",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),140447.6,134062.5,133478.9,142069.7,144969.0,145253.8,147480.6,156301.1,155385.6,158138.6,157170.1,159420.7,169972.8,176780.1
 "19000","Iowa",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108837.1,106780.5,106735.7,110461.1,110345.6,110831.8,112384.2,117133.0,118522.7,121609.9,120029.3,120697.1,118924.9,128752.2
 "19000","Iowa",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",84644.0,87782.4,93112.0,94837.8,98557.0,105123.3,117188.5,123190.9,127896.3,137930.2,137548.5,136894.6,142233.9,148477.6,158538.4,162200.3,173095.9,180299.3,181011.4,184561.3,191516.6,195708.7,196982.9,216860.2
 "19000","Iowa",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",73171.9,75098.7,80228.5,82571.1,84424.0,86443.8,93643.1,96704.5,102746.8,110011.0,116756.7,113084.5,116906.0,125978.2,132158.9,134757.8,139531.3,144587.6,145790.0,149420.3,155916.4,160360.6,169994.2,182524.5
 "19000","Iowa",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",64487.3,66187.8,70949.8,73182.6,76199.2,78614.1,85539.2,87637.5,92588.3,98394.3,104754.8,103350.1,106594.9,113748.3,119099.1,120823.4,125177.0,129236.1,130209.0,133672.6,140434.0,144102.0,153817.1,164211.9
 "19000","Iowa",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",56767.0,60068.9,63619.8,65783.4,67374.4,70943.6,75345.9,79368.9,83436.6,87191.0,90567.3,90191.7,93619.4,98090.5,100737.5,102961.0,106473.5,108541.7,111435.6,115188.2,119344.0,121665.5,119315.3,133335.0
 "19000","Iowa",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46556,44203,43743,46278,47029,46822,47245,49839,49338,50002,49558,50072,53305,55364
 "19000","Iowa",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36078,35208,34979,35982,35797,35726,36002,37350,37633,38452,37847,37909,37296,40322
 "19000","Iowa",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47246,49163,50367,53312,57163
 "19000","Iowa",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22215,22685,24223,24960,25969,26721,28961,29563,31042,32807,34725,34077,34933,37052,38636,38947,40100,41209,41344,42266,44281,45261,48239,51427
 "19000","Iowa",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19555,20588,21720,22436,22961,24114,25510,26774,27974,29071,30022,29738,30680,31952,32680,33189,34109,34610,35383,36422,37631,38214,37419,41758
 "19000","Iowa",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.220,89.796,91.607,90.457,91.293,91.657,92.082,89.866,90.276,89.313,91.795,91.694,90.268,89.568
 "19000","Iowa",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.214,84.465,87.711,88.801,91.293,92.898,94.741,92.665,94.021,94.719,99.429,100.802,100.328,103.559
 "19000","Iowa",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1877486,1896080,1915254,1902198,1879713,1873330,1902227,1933919,1965778,1994031,1997615,1959142,1950444,1975960,1993430,2019480,2038926,2059837,2066677,2061851,2076092,2071092,2010409,2049278
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
