GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "16000","Idaho",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",38795.3,42510.4,47295.4,46084.5,47056.8,48593.7,51815.1,56043.0,57613.7,58670.9,60309.5,57327.9,58281.8,58226.2,58323.9,60631.2,62454.0,63081.2,65479.0,66941.0,70857.3,74162.6,75145.5,80093.8
 "16000","Idaho",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),56210.3,54252.2,56629.4,57541.8,60112.1,61763.9,63856.4,67351.4,70498.7,71901.3,77144.5,81848.1,90742.6,94097.1
 "16000","Idaho",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46620.8,45332.6,47209.9,47252.2,48271.2,49492.4,50586.0,52448.5,55554.7,57181.6,61798.4,62895.5,64395.2,71190.1
 "16000","Idaho",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",31059.8,34239.9,38083.1,37489.0,38673.2,40490.6,44327.9,48642.8,51125.8,53934.5,56200.8,54064.1,55587.6,56941.1,58323.9,61835.8,64575.2,65899.9,68837.4,71730.3,77395.4,82847.2,85927.8,96282.8
 "16000","Idaho",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",28531.4,30218.5,32723.6,34054.3,35161.6,36440.8,39412.2,41979.2,46227.8,49227.0,50388.9,48624.5,50432.6,53273.7,56177.1,58403.7,61801.4,65475.7,68009.3,71888.4,76435.2,83031.5,91448.5,99549.6
 "16000","Idaho",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",25255.1,26626.8,28664.3,30008.8,31832.9,33218.0,35937.6,37656.0,41147.6,43801.5,45261.6,44758.2,46434.1,48603.6,51235.3,52919.7,55963.8,58983.5,61042.4,64594.3,69023.2,74704.8,82766.5,89064.3
 "16000","Idaho",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",22540.8,24136.7,26082.3,27268.4,28364.7,30149.0,32365.2,35200.0,38292.9,40798.0,41833.6,40684.4,42105.0,43810.2,45175.3,46862.6,49025.6,51075.7,53704.8,57312.0,61370.1,63939.8,65101.0,75541.2
 "16000","Idaho",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36635,34901,36041,36269,37570,38172,38933,40514,41565,41465,43618,45269,49109,49501
 "16000","Idaho",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30385,29163,30046,29783,30169,30588,30842,31549,32755,32976,34941,34787,34850,37450
 "16000","Idaho",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32097,33579,35110,36095,37680,39386,40098,41457,43217,45924,49491,52369
 "16000","Idaho",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",20166,20873,22059,22735,23749,24364,25821,26365,28017,29102,29499,28794,29552,30635,32022,32706,34121,35481,35990,37251,39026,41318,44793,46853
 "16000","Idaho",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17999,18921,20072,20658,21162,22113,23254,24646,26073,27106,27265,26173,26797,27614,28234,28963,29890,30724,31664,33051,34699,35364,35232,39739
 "16000","Idaho",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.130,95.412,93.148,94.444,93.586,93.421,94.196,94.440,92.820,94.507,91.682,92.475,90.959,91.776
 "16000","Idaho",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.732,89.746,89.187,92.716,93.586,94.686,96.915,97.383,96.670,100.228,99.307,101.660,101.096,106.112
 "16000","Idaho",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",732684,747188,776910,783399,791311,800913,825327,861524,899832,929495,921093,880480,868718,878541,883148,902866,925519,949506,976741,1007791,1041251,1064118,1078122,1125054
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
