GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "17000","Illinois",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",595615.8,618148.4,640723.4,642292.5,647517.8,658317.3,676805.9,687706.6,704827.6,712619.8,706616.5,688161.0,698179.6,711283.4,726399.1,726125.0,741194.0,751754.9,749333.5,753027.0,771695.5,775998.1,734385.0,780060.8
 "17000","Illinois",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),586023.1,550929.4,557485.3,569075.5,588324.8,598683.9,621833.9,653427.7,649493.0,651755.3,670528.3,687637.5,712986.7,728882.6
 "17000","Illinois",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),457909.1,443338.3,449779.0,453463.0,459574.7,465628.1,478434.8,493497.2,498923.9,502483.2,513351.7,523670.9,497667.2,535571.6
 "17000","Illinois",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",436567.1,460331.1,487014.6,501552.8,514361.1,533022.5,563060.8,589811.8,624242.9,650145.2,654657.5,649862.7,666404.8,692880.8,726399.1,741121.5,771356.1,799930.5,807043.2,824913.4,865661.0,889540.1,856942.9,945673.8
 "17000","Illinois",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",367298.6,383972.5,412965.5,428339.2,433314.9,442126.4,459761.5,478865.6,510377.0,539737.4,553983.9,526967.6,543084.3,569775.5,595073.5,609778.6,638640.0,666943.7,673691.0,692895.9,728667.0,750935.6,794459.5,852082.1
 "17000","Illinois",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",315059.3,328834.6,353622.8,369687.0,382342.8,394997.7,411795.2,424520.1,449271.6,471563.0,484760.5,475510.9,487971.3,502726.4,524298.8,532246.1,557905.7,580544.9,589506.4,608991.4,641068.5,660583.9,701883.3,743387.6
 "17000","Illinois",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",274083.7,289255.9,311284.2,321922.5,331174.3,345412.2,363334.1,383670.3,403311.0,422823.5,433300.1,424621.5,438798.2,454673.3,465504.9,474893.0,492043.9,504573.4,518592.3,535515.6,559137.3,573085.1,556286.1,627976.0
 "17000","Illinois",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45973,43052,43399,44139,45507,46191,47943,50400,50167,50428,52025,53512,55766,57522
 "17000","Illinois",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35923,34645,35014,35172,35548,35925,36887,38064,38537,38878,39830,40752,38925,42266
 "17000","Illinois",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29930,31068,33212,34299,34594,35212,36519,37975,40365,42513,43460,41180,42278,44194,46029,47047,49238,51443,52036,53611,56536,58438,62139,67244
 "17000","Illinois",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25673,26607,28440,29602,30525,31459,32709,33666,35533,37143,38029,37159,37988,38993,40555,41065,43014,44779,45533,47119,49739,51407,54898,58666
 "17000","Illinois",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22334,23404,25035,25778,26440,27510,28859,30426,31898,33304,33992,33182,34160,35266,36007,36640,37936,38919,40056,41434,43382,44598,43510,49558
 "17000","Illinois",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.318,101.824,101.892,102.136,101.290,100.627,99.959,99.155,99.802,100.491,100.556,99.548,100.571,101.412
 "17000","Illinois",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.626,95.778,97.559,100.267,101.290,101.990,102.845,102.244,103.942,106.574,108.919,109.436,111.779,117.253
 "17000","Illinois",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",7139373,7218569,7357491,7309738,7217677,7191486,7244982,7334790,7448603,7577634,7553059,7304316,7251002,7376100,7434661,7503158,7613484,7748868,7804669,7823093,7880587,7859703,7519502,7684747
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
