GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "18000","Indiana",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",245675.7,254089.2,264121.7,259474.8,265345.1,277151.6,287655.9,290328.2,296112.7,304085.7,300962.6,279520.7,297517.3,299064.5,300513.9,307279.1,316783.1,313751.2,319601.5,324997.6,336327.1,337902.2,327277.9,346240.9
 "18000","Indiana",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),260876.1,253419.0,258455.7,270295.7,277376.5,276740.0,283521.7,297867.2,303410.1,312858.0,314992.3,323719.1,348011.8,359702.4
 "18000","Indiana",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),215455.8,212440.9,212945.0,217856.4,221066.0,222831.7,226601.1,234366.3,239991.2,251156.5,252517.5,254537.4,253201.5,271023.5
 "18000","Indiana",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",184359.8,193147.3,203801.1,205470.9,212837.8,225442.7,239743.6,248170.5,259602.8,273509.5,275538.7,263326.8,282562.2,291356.1,300513.9,312138.5,327958.3,331945.7,340500.7,352601.0,373196.8,381132.3,373781.6,412975.2
 "18000","Indiana",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",154708.4,160797.6,171501.5,175494.3,178021.1,182928.7,191918.7,198189.0,209756.2,217254.2,227486.5,221343.2,231707.2,246494.0,258136.4,261702.3,272244.9,282821.4,290604.4,300964.6,315740.4,329625.0,354337.7,384520.0
 "18000","Indiana",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",134679.2,140113.8,150252.1,153854.8,158559.9,164479.7,173280.4,177785.4,187375.5,192906.3,203125.7,202233.7,211177.7,222453.3,234040.5,235576.8,245310.0,253500.6,260101.2,270847.3,286225.0,297118.3,319874.5,344088.3
 "18000","Indiana",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",118005.0,125462.2,133628.2,138688.2,143391.5,150189.2,160039.1,169376.6,176438.6,183072.2,188064.5,185799.3,191184.5,198958.0,206023.2,211005.9,217888.8,222911.7,230341.9,242203.1,253695.8,259729.3,258617.9,290592.4
 "18000","Indiana",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40605,39233,39815,41448,42372,42051,42894,44937,45568,46794,46834,47875,51286,52851
 "18000","Indiana",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33535,32889,32804,33407,33770,33859,34282,35357,36044,37565,37545,37644,37314,39821
 "18000","Indiana",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52219,56497
 "18000","Indiana",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22451,23179,24664,25108,25757,26543,27800,28316,29589,30238,31616,31309,32532,34112,35752,35796,37113,38244,39064,40510,42557,43941,47140,50557
 "18000","Indiana",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19671,20755,21936,22633,23293,24237,25676,26977,27862,28697,29272,28764,29452,30509,31472,32062,32964,33629,34594,36226,37720,38412,38113,42697
 "18000","Indiana",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.538,92.980,93.769,93.028,93.195,93.428,93.457,92.239,92.156,90.931,92.752,92.820,91.898,92.735
 "18000","Indiana",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.287,87.459,89.781,91.325,93.195,94.693,96.155,95.113,95.979,96.435,100.467,102.040,102.139,107.220
 "18000","Indiana",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3543278,3596542,3648148,3588944,3553215,3552205,3593283,3634815,3674399,3720040,3682931,3523018,3525335,3590196,3642334,3684125,3740428,3796419,3847508,3903417,3963442,3970076,3843507,3950184
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
