GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "21000","Kentucky",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",150774.4,155611.5,151495.1,151834.3,155643.9,159990.8,164650.2,171180.3,175657.7,174407.3,173810.1,166704.2,173780.1,175745.3,178143.7,181505.9,181471.8,182916.0,184115.0,185920.6,187926.6,192971.9,188396.3,197818.3
 "21000","Kentucky",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),166679.5,167322.2,167658.7,170550.9,173823.7,171809.1,177770.7,186364.2,188248.4,191799.5,195792.1,200944.7,216979.6,225018.8
 "21000","Kentucky",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),140351.6,142574.1,142611.8,144218.6,144875.5,144614.8,147862.9,152975.8,157500.4,161653.4,166711.2,167424.2,165863.1,178612.3
 "21000","Kentucky",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",109382.3,115106.8,114169.2,117647.9,122435.3,127982.2,135529.3,145011.1,153408.4,157163.7,159883.8,157479.8,166408.7,171586.9,178143.7,184524.4,187983.8,193413.1,196484.9,201872.2,208558.6,218494.7,216865.6,237182.0
 "21000","Kentucky",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",89452.4,93315.4,100691.4,104126.9,106568.4,109876.6,116453.4,122305.7,129361.3,135056.8,141572.6,139861.7,145301.2,152218.7,157635.7,159224.8,166717.1,174331.2,177190.6,182391.5,188348.3,197356.0,214052.5,231179.8
 "21000","Kentucky",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",78111.0,81477.6,88236.3,91170.1,95001.3,98667.4,105216.1,109782.7,116029.1,120506.6,126466.3,127611.8,132343.0,137501.5,142806.7,143197.7,149803.8,155868.9,158203.4,163348.8,169409.4,177348.6,194013.6,208253.8
 "21000","Kentucky",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",73419.1,78228.8,83751.0,86725.8,90052.0,94424.1,100060.4,106030.8,111616.9,115384.9,119327.7,119334.1,123774.3,128901.9,131569.5,134202.0,138860.5,143345.3,148558.2,154102.3,160739.5,164781.9,164142.1,184053.4
 "21000","Kentucky",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38854,38758,38550,38990,39559,38908,40141,41940,42231,42853,43633,44673,48175,49900
 "21000","Kentucky",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32717,33026,32791,32970,32971,32749,33388,34426,35333,36118,37152,37221,36826,39609
 "21000","Kentucky",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33409,34799,35875,36058,37645,39232,39750,40751,41974,43875,47525,51266
 "21000","Kentucky",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19599,20278,21792,22411,23228,23965,25377,26247,27500,28310,29480,29560,30430,31435,32500,32428,33826,35077,35491,36497,37754,39427,43076,46182
 "21000","Kentucky",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18422,19469,20684,21318,22018,22934,24134,25350,26454,27107,27816,27642,28460,29469,29943,30391,31355,32259,33327,34431,35822,36633,36444,40816
 "21000","Kentucky",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.135,88.983,90.646,91.046,90.816,91.560,91.277,90.873,90.565,89.887,89.015,89.529,89.039,89.124
 "21000","Kentucky",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.021,83.700,86.791,89.379,90.816,92.800,93.912,93.705,94.322,95.329,96.418,98.422,98.962,103.046
 "21000","Kentucky",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2223896,2264164,2306481,2283616,2263430,2273325,2300593,2337821,2374830,2414908,2402591,2325249,2325921,2368202,2389363,2407562,2440072,2473915,2498658,2519975,2545574,2550230,2472056,2548204
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
