GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "22000","Louisiana",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",207611.6,211952.5,205722.6,208617.8,213079.4,221774.4,232712.8,247773.2,245500.2,230367.7,232150.7,236411.0,246836.2,234975.7,235384.7,228452.8,235355.1,233016.0,228428.5,233351.7,237298.3,237044.6,218421.7,221152.7
 "22000","Louisiana",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),195333.0,191856.7,193795.6,194237.3,200486.3,200830.7,206650.2,208111.7,203909.5,210981.7,219336.7,222219.0,234479.7,238268.8
 "22000","Louisiana",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),147680.6,148741.4,149507.5,151587.6,152495.2,154584.9,157822.6,162333.3,163217.7,168800.3,174401.6,175541.5,171999.7,185315.8
 "22000","Louisiana",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",120198.1,125807.3,132640.8,137901.2,139800.9,155092.4,171006.1,199594.7,207773.8,203041.0,212392.4,204906.9,225308.9,229945.0,235384.7,230832.5,240737.3,235113.5,227090.7,241213.4,256677.8,255481.9,232527.8,258571.3
 "22000","Louisiana",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",99070.8,101467.7,107310.6,114917.4,118229.4,122169.8,127758.4,137935.1,145645.5,159411.3,170869.3,165876.2,173800.8,179073.4,188760.8,191497.3,200293.9,201363.5,200190.6,206121.5,215086.4,222349.1,236324.2,250700.7
 "22000","Louisiana",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",88367.5,90832.9,96063.0,102842.9,107646.9,112361.2,117979.9,127120.9,132489.8,143692.8,153619.1,152687.8,160409.6,164297.2,172337.7,173651.0,181561.0,183015.6,181555.9,187879.7,197083.6,203033.3,217041.9,228861.8
 "22000","Louisiana",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",79151.6,83199.5,87610.6,91219.7,94668.2,100117.8,105841.0,110707.8,117591.1,124298.7,129312.0,128770.9,134277.3,139954.2,143779.9,147598.3,153179.5,157340.3,160575.5,165317.6,171413.0,176015.7,173900.0,195570.2
 "22000","Louisiana",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44038,42714,42641,42437,43550,43393,44452,44558,43518,45095,46967,47640,50413,51528
 "22000","Louisiana",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33294,33115,32896,33119,33125,33400,33949,34757,34834,36079,37345,37633,36980,40077
 "22000","Louisiana",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44056,46057,47668,50809,54217
 "22000","Louisiana",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19901,20362,21482,22967,23936,24853,25917,27776,30793,32840,34633,33994,35295,35896,37436,37520,39055,39185,38748,40157,42202,43527,46664,49494
 "22000","Louisiana",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17826,18651,19591,20371,21050,22145,23250,24190,27330,28407,29153,28669,29545,30577,31232,31891,32950,33688,34270,35335,36705,37735,37388,42294
 "22000","Louisiana",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.830,92.039,93.803,94.047,94.285,94.205,94.335,93.996,94.462,92.346,90.740,91.210,90.967,91.276
 "22000","Louisiana",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.562,86.574,89.813,92.326,94.285,95.480,97.058,96.924,98.381,97.937,98.286,100.270,101.105,105.533
 "22000","Louisiana",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2336386,2352801,2388668,2397993,2399216,2418747,2434481,2397386,2413797,2501135,2550836,2529953,2536560,2564944,2601174,2641657,2684755,2696590,2691382,2692658,2725149,2717896,2593066,2639156
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
