GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "24000","Maryland",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",231806.4,240946.2,250771.7,261532.9,270468.4,278332.0,290284.6,301660.6,305794.1,306755.8,314757.6,311342.2,325369.7,332437.2,332523.5,334268.9,339604.6,348151.8,360082.0,366204.4,367977.4,368056.4,352384.0,368571.1
 "24000","Maryland",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),273609.9,269153.6,278456.3,283636.1,291930.2,284549.4,291425.4,304565.5,315507.7,319905.6,323450.7,332933.7,343876.7,351518.8
 "24000","Maryland",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),206557.0,202412.6,208972.7,209809.3,215532.0,214782.0,219260.6,224179.5,229551.2,232794.3,237591.3,242284.8,227839.1,244214.2
 "24000","Maryland",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",169982.1,180261.6,192021.4,205981.0,217837.1,228959.3,245124.5,262100.0,274145.3,282965.6,295400.2,299102.7,314728.3,326281.2,332523.5,340577.6,352761.3,369728.1,387733.4,400157.0,410812.2,420371.3,410931.0,443929.9
 "24000","Maryland",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",163853.9,173588.8,189023.5,199273.1,206925.3,216521.5,230980.2,243351.5,256471.5,267560.8,279622.9,277627.5,287652.4,303517.8,312175.8,311524.0,322438.2,337702.8,350384.4,361606.2,371870.3,384074.3,405454.6,430429.3
 "24000","Maryland",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",139259.3,147329.1,160020.5,169051.9,179510.2,189612.6,202623.2,211444.7,221628.3,229502.1,241912.1,245804.9,254739.8,265647.5,273715.1,270099.4,279330.8,291490.6,302647.6,313105.4,322539.4,330521.5,352071.7,370048.1
 "24000","Maryland",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",120663.0,128678.1,139635.9,147369.6,153857.9,162394.9,173206.7,185347.9,196527.3,205423.4,211304.0,209063.7,216188.5,224838.8,230805.7,235458.2,242928.8,248999.3,255458.3,263787.1,273782.2,280092.2,269486.2,299934.1
 "24000","Maryland",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48129,46970,48080,48449,49363,47724,48498,50347,51896,52333,52690,54016,55709,57017
 "24000","Maryland",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36334,35323,36082,35839,36445,36023,36489,37059,37757,38083,38703,39309,36911,39612
 "24000","Maryland",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",31483,33036,35591,37076,38035,39394,41641,43515,45576,47327,49186,48448,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65685,69817
 "24000","Maryland",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26758,28039,30130,31453,32996,34498,36529,37809,39384,40595,42553,42895,43985,45377,46283,45301,46486,48186,49780,51221,52541,53625,57037,60023
 "24000","Maryland",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23185,24489,26292,27419,28281,29546,31226,33143,34923,36336,37169,36483,37328,38406,39028,39491,40428,41162,42018,43153,44599,45443,43658,48650
 "24000","Maryland",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108.452,109.806,108.048,109.162,107.087,108.162,107.686,107.715,106.853,106.845,106.384,105.159,106.419,106.223
 "24000","Maryland",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.298,103.286,103.453,107.163,107.087,109.627,110.795,111.071,111.286,113.313,115.232,115.605,118.279,122.816
 "24000","Maryland",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2935441,3007654,3092125,3119857,3156648,3191309,3247756,3310820,3378396,3440607,3430882,3359485,3345423,3394831,3438880,3493921,3537654,3602936,3659061,3696747,3751407,3743604,3620521,3714211
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
