GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "23000","Maine",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",44140.2,46351.4,48490.2,49471.0,50910.4,52209.8,54256.0,54926.9,55448.4,55359.9,54653.9,53630.1,54305.0,53789.0,53679.7,53239.1,54037.9,54425.8,55565.4,56469.4,58099.9,59553.4,59881.4,63594.5
 "23000","Maine",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53633.2,54005.5,55459.3,56131.9,55982.8,54930.2,58380.4,59182.9,60827.6,60581.9,61629.0,66174.8,69102.6,71621.7
 "23000","Maine",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),49879.8,50084.1,51787.2,51887.5,51326.9,51359.0,54213.2,54023.1,55526.2,55784.2,56805.2,59471.6,56513.2,61731.5
 "23000","Maine",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",32156.2,34413.2,36890.3,38605.7,40466.2,42315.2,45210.0,47078.5,49045.4,50459.3,50713.2,51123.8,52256.2,52575.5,53679.7,54470.1,56410.8,58131.3,60254.4,62253.6,65477.1,68690.4,70740.0,77963.3
 "23000","Maine",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",31232.6,32657.0,35107.4,37058.4,38323.5,40247.6,42315.6,43421.3,45599.7,47357.3,49445.4,49403.0,50603.6,52789.0,53782.5,53742.0,55863.6,58331.3,59959.2,62372.1,65015.1,68863.0,74805.9,80254.4
 "23000","Maine",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",27404.1,28656.2,30656.2,32495.4,34307.9,36421.4,38376.9,39040.1,40870.2,42312.5,44272.9,45160.5,46243.5,47792.8,48753.0,48324.9,50315.9,52274.0,53534.5,55967.0,58648.7,61769.3,67597.0,71838.6
 "23000","Maine",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",27079.5,29050.6,31167.4,32939.3,34841.6,36845.0,39036.5,41243.5,43103.6,44724.5,46030.3,45876.9,47321.9,48867.6,49379.4,50315.4,51947.7,53337.5,54847.8,57573.9,60063.3,62018.3,61370.5,69379.8
 "23000","Maine",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40310,40618,41763,42203,42064,41220,43681,44310,45388,45047,45633,48748,50726,52193
 "23000","Maine",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37489,37669,38998,39012,38566,38541,40563,40447,41432,41480,42062,43810,41484,44986
 "23000","Maine",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54912,58484
 "23000","Maine",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21764,22621,24005,25275,26473,27877,29213,29603,30878,31885,33275,33966,34823,35934,36632,36264,37647,39137,39946,41616,43427,45503,49620,52351
 "23000","Maine",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21507,22932,24405,25620,26885,28201,29715,31274,32565,33702,34596,34505,35635,36742,37102,37757,38868,39934,40926,42811,44474,45686,45050,50559
 "23000","Maine",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.834,97.382,95.436,95.936,96.206,96.659,93.133,95.748,94.844,97.317,97.617,94.860,97.706,97.205
 "23000","Maine",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.282,91.600,91.377,94.180,96.206,97.968,95.821,98.731,98.778,103.208,105.736,104.282,108.595,112.390
 "23000","Maine",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",748614,762975,784039,787577,790609,794507,807625,809353,817622,828212,823517,800501,791331,794389,796903,803641,810868,816552,826727,834228,843772,842473,813207,842366
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
