GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "29000","Missouri",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",231693.3,238452.0,244705.9,243060.4,247437.1,252677.3,259741.4,265735.1,267221.1,267691.2,273436.2,266834.9,270732.9,268533.8,271535.1,274599.3,276080.7,279020.8,279109.2,281253.3,284540.3,290619.5,282754.1,295687.3
 "29000","Missouri",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),262520.0,253733.1,248874.3,254292.8,261846.3,259028.7,262215.1,275105.7,281511.7,284752.8,290481.9,296462.6,313874.2,321701.8
 "29000","Missouri",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),222751.2,217151.3,214437.8,219004.1,221815.1,221597.7,222023.4,230527.9,235232.0,241430.8,245784.7,247260.3,240966.4,260823.1
 "29000","Missouri",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",169483.4,177738.0,186650.0,190657.1,197557.7,205588.5,217084.2,227971.3,236386.0,244331.3,254045.8,253317.7,259816.1,262067.1,271535.1,280571.0,287507.5,296929.3,300914.5,308002.3,318153.5,332485.8,330249.9,358572.0
 "29000","Missouri",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",141027.1,146510.9,156675.8,161842.0,165526.0,171766.6,181111.9,187996.2,199347.8,209021.4,221033.5,216893.6,222564.0,231646.3,242981.4,245200.0,254317.5,263271.4,270603.5,276573.9,288564.8,301030.7,320698.2,341254.0
 "29000","Missouri",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",123032.8,127780.1,136663.6,141223.4,147726.4,155046.3,164266.6,168886.6,178107.6,185615.5,196382.0,197946.6,202991.4,209025.2,219587.6,219622.8,227463.3,234052.4,240649.9,246850.2,258687.4,269718.6,288990.1,304270.5
 "29000","Missouri",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",116459.1,123770.1,132309.2,138209.1,143904.1,150615.7,157708.8,165853.4,172244.1,180296.9,187734.0,185870.7,192047.2,199787.0,206125.9,210048.6,215633.7,220991.6,226589.2,235073.2,244720.6,251601.3,246982.5,277505.7
 "29000","Missouri",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),44315,42565,41506,42301,43448,42857,43267,45270,46200,46576,47398,48257,50999,52155
 "29000","Missouri",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37602,36428,35762,36430,36805,36664,36635,37934,38605,39490,40105,40248,39153,42285
 "29000","Missouri",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25540,26342,27941,28690,29168,30085,31510,32467,34119,35502,37312,36385,37118,38533,40317,40569,41963,43322,44410,45239,47085,49001,52108,55325
 "29000","Missouri",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22281,22974,24373,25035,26032,27156,28579,29167,30484,31526,33151,33206,33854,34770,36436,36337,37532,38514,39494,40377,42210,43904,46956,49329
 "29000","Missouri",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21091,22253,23596,24500,25358,26380,27438,28643,29480,30623,31691,31181,32028,33234,34202,34753,35580,36365,37186,38450,39931,40955,40131,44990
 "29000","Missouri",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.350,90.998,93.537,92.926,92.927,93.522,94.397,92.967,92.489,91.809,91.922,92.561,92.219,92.022
 "29000","Missouri",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.280,85.595,89.558,91.225,92.927,94.788,97.122,95.863,96.326,97.367,99.567,101.756,102.497,106.396
 "29000","Missouri",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3385244,3422953,3470846,3451902,3437494,3444535,3478558,3533315,3586453,3636220,3625612,3522652,3475301,3506571,3528129,3565922,3596751,3655804,3700557,3735912,3776639,3779850,3693351,3772958
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
