GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "28000","Mississippi",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",85193.8,87638.0,88077.5,87309.5,88569.4,92354.7,94482.6,96820.7,99005.8,100211.8,101777.6,98000.6,98601.1,98515.8,100448.4,100331.2,100283.6,100482.4,101255.3,101245.3,100872.7,100982.8,100526.9,104353.5
 "28000","Mississippi",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),108014.2,109383.3,108672.6,109940.8,112783.6,112624.8,113045.4,115540.8,116002.2,118694.1,121168.2,123432.4,132800.1,135579.6
 "28000","Mississippi",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89457.0,90863.6,90230.2,90754.4,92001.4,91989.3,93017.9,95343.2,96302.0,98340.3,101609.8,101473.3,100957.8,107372.4
 "28000","Mississippi",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",60940.4,63879.0,65673.1,67174.0,69259.9,73961.9,77998.0,82448.5,87099.5,91191.4,94514.5,91792.2,93943.1,96218.0,100448.4,102371.0,104300.3,105914.6,107291.4,109600.8,112201.7,114234.4,115123.4,127307.7
 "28000","Mississippi",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",56584.7,58573.1,61755.4,65175.9,66375.0,69022.3,73109.9,77981.6,81284.4,86544.4,90748.4,89226.6,92933.2,96918.0,100377.2,102317.4,104255.5,106064.0,107499.5,110093.1,112739.0,117112.8,126306.9,135347.4
 "28000","Mississippi",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",51037.4,52807.3,55809.6,58953.9,60948.6,63750.6,68122.5,72206.3,74523.8,79435.1,82976.1,83110.7,86067.3,89812.8,92871.0,94146.3,95978.7,97310.7,98489.1,101328.7,104276.1,108077.9,117059.7,124587.2
 "28000","Mississippi",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",44360.1,47346.0,50425.5,52806.8,55229.0,58012.3,61585.4,65218.2,69476.8,72541.6,75231.4,74218.5,77274.3,80119.2,81997.1,83682.6,85903.7,87674.0,89429.6,91438.6,94757.2,96481.6,96324.6,107510.2
 "28000","Mississippi",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36642,36969,36586,36919,37817,37710,37838,38708,38871,39785,40734,41574,44912,45960
 "28000","Mississippi",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30347,30710,30377,30476,30849,30801,31134,31941,32269,32963,34159,34178,34143,36398
 "28000","Mississippi",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",20174,20709,21681,22845,23219,24064,25306,26835,27981,29554,30785,30157,31287,32546,33657,34259,34896,35533,36021,36902,37900,39445,42716,45881
 "28000","Mississippi",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18196,18670,19594,20664,21321,22226,23580,24848,25654,27126,28148,28090,28975,30160,31140,31523,32125,32600,33002,33964,35055,36402,39589,42233
 "28000","Mississippi",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",15816,16739,17703,18509,19320,20225,21317,22443,23916,24772,25521,25084,26015,26905,27494,28020,28753,29372,29967,30649,31855,32497,32577,36445
 "28000","Mississippi",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.157,86.837,89.445,89.927,89.126,89.755,89.761,89.178,89.165,87.674,86.095,86.490,85.844,86.601
 "28000","Mississippi",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),84.098,81.681,85.641,88.281,89.126,90.970,92.352,91.956,92.864,92.982,93.256,95.081,95.411,100.128
 "28000","Mississippi",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1445429,1469707,1476295,1455992,1454774,1452904,1463644,1473716,1508314,1538802,1537431,1492290,1490731,1509941,1519719,1532583,1556753,1568218,1581185,1592204,1602769,1607696,1573592,1609386
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
