GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "30000","Montana",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",30342.4,30461.3,31241.1,31532.6,32503.7,33810.5,35528.6,37373.9,38577.6,40438.3,40471.1,39513.4,40793.7,41875.7,42340.9,42968.2,43829.1,45395.7,44436.8,45974.3,46584.1,46886.2,46750.4,48976.2
 "30000","Montana",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38702.2,38409.7,40463.5,41059.3,43655.2,43475.5,44557.6,45784.3,47081.5,48921.6,50877.4,52336.7,57876.7,59577.9
 "30000","Montana",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35252.4,35058.9,36411.4,36274.3,37591.9,38215.2,38488.9,39166.7,40726.3,41855.8,43967.5,43933.9,45180.1,49947.8
 "30000","Montana",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",20429.1,20812.2,21876.7,22847.6,23942.1,25714.9,28160.5,30875.8,33166.1,36233.2,37224.9,36187.8,38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48533.9,50916.9,51925.4,52355.8,58699.8
 "30000","Montana",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",19152.3,19560.5,20860.4,21763.7,22384.6,24025.3,26161.9,28272.7,30670.2,32976.1,34947.6,34133.5,36060.4,38487.9,40919.7,41322.5,43555.8,45453.5,46074.1,48704.8,50780.1,54083.5,58769.6,62886.7
 "30000","Montana",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16998.8,17301.7,18415.5,19222.5,20138.6,21821.8,23830.1,25502.3,27508.1,29354.4,31278.5,31177.8,33035.2,34897.3,36973.7,37065.2,38896.8,40527.5,41138.1,43586.7,45615.1,48317.1,52805.3,55695.2
 "30000","Montana",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",17118.3,18215.3,19466.4,20467.8,21614.6,22937.4,24595.4,26411.6,28410.5,30401.4,31863.8,31197.4,32496.5,34051.5,35286.3,36371.4,37675.5,38950.7,39938.1,41772.8,43983.6,45496.2,46022.0,52880.0
 "30000","Montana",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39637,39035,40837,41134,43421,42794,43471,44261,45026,46241,47703,48664,53284,53952
 "30000","Montana",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36104,35630,36747,36340,37391,37616,37550,37864,38948,39562,41224,40851,41595,45231
 "30000","Montana",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",21461,21794,23081,23996,24554,26125,28131,30074,32193,34183,35792,34689,36393,38558,40701,40674,42494,43941,44063,46036,47612,50289,54106,56949
 "30000","Montana",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19048,19278,20376,21194,22090,23729,25623,27127,28874,30428,32034,31685,33340,34961,36776,36484,37948,39179,39342,41198,42769,44927,48615,50436
 "30000","Montana",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19182,20295,21539,22567,23709,24942,26446,28094,29821,31514,32634,31705,32796,34113,35097,35801,36757,37655,38195,39483,41239,42304,42370,47887
 "30000","Montana",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.825,94.603,93.212,95.623,93.867,93.904,95.140,96.444,94.159,94.105,92.356,94.199,91.649,91.567
 "30000","Montana",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.388,88.985,89.248,93.872,93.867,95.175,97.887,99.449,98.065,99.802,100.037,103.556,101.863,105.871
 "30000","Montana",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",535785,543115,552690,559924,564643,571215,585514,600577,616927,635627,636171,619407,616344,623175,633135,641917,648873,660524,667769,674401,684016,686459,684333,709342
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
