GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "38000","North Dakota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",23674.9,23770.7,24706.0,24909.9,26290.8,27870.4,28284.1,29345.2,30590.1,32022.2,34256.4,35244.4,37917.2,42340.8,51832.6,52892.4,57790.0,56542.4,52974.6,54187.1,55914.2,56385.4,53653.6,53803.6
 "38000","North Dakota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33007.1,31843.0,34379.0,37970.5,42482.3,42367.0,44594.3,43116.1,41744.2,42964.4,43345.6,43297.5,46388.6,47613.4
 "38000","North Dakota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),26361.6,26420.5,27102.2,29064.7,30195.4,32229.3,33719.8,34697.5,34411.3,35143.2,34514.2,33893.3,32987.2,35447.8
 "38000","North Dakota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",16816.6,17067.2,18100.1,18889.1,20194.7,22061.1,23259.0,24700.0,26500.7,29075.4,31874.4,32226.0,35676.2,41587.7,51832.6,54271.0,59926.3,55996.9,51989.2,55394.7,59248.7,59199.2,54422.9,63559.6
 "38000","North Dakota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",15077.6,15272.3,16623.2,16961.2,17369.5,18958.8,19410.3,20653.4,21662.9,23964.5,27009.4,26739.8,29880.8,33666.0,39796.2,39933.5,42819.6,41178.9,39765.8,40266.3,42733.1,44346.9,47410.7,50002.9
 "38000","North Dakota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",13608.2,13770.8,15009.6,15255.5,15891.8,17519.6,17927.3,18953.6,19692.7,21663.4,24299.0,24540.3,27301.4,30232.5,35614.5,35340.8,37939.1,36773.1,35832.3,36399.8,38941.4,40223.4,43230.1,45216.2
 "38000","North Dakota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",12587.8,13190.0,13971.0,14725.9,15415.9,16264.8,17299.6,18379.5,19392.6,20527.1,21592.7,22215.9,23590.4,25806.9,28326.3,30418.9,32422.6,33195.7,32848.8,33017.3,34104.2,34788.1,33820.5,37338.5
 "38000","North Dakota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50196,47887,50928,55265,60252,58246,59907,56531,54593,56040,56190,55759,59552,61441
 "38000","North Dakota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40090,39732,40148,42303,42826,44309,45298,45493,45003,45839,44742,43648,42348,45742
 "38000","North Dakota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",23285,23705,25892,26541,27218,29678,30107,31967,33357,36709,41075,40212,44264,49000,56443,54900,57523,53991,52005,52521,55396,57110,60864,64524
 "38000","North Dakota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21015,21375,23379,23872,24902,27425,27807,29336,30323,33184,36953,36904,40443,44002,50512,48586,50966,48215,46861,47478,50481,51800,55497,58347
 "38000","North Dakota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19440,20473,21761,23043,24157,25461,26833,28447,29861,31444,32837,33409,34946,37561,40175,41820,43556,43524,42959,43066,44210,44800,43417,48182
 "38000","North Dakota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),86.837,89.394,90.909,90.447,93.810,93.122,93.455,92.781,91.657,88.588,91.225,93.366,92.246,91.103
 "38000","North Dakota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.910,84.086,87.042,88.791,93.810,94.383,96.153,95.672,95.460,93.951,98.812,102.640,102.526,105.334
 "38000","North Dakota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",434930,435651,440643,445433,442537,443699,453086,461645,471138,482505,491898,492417,503813,529779,567388,587398,606989,597642,576704,573064,578348,581826,560682,566374
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
