GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "33000","New Hampshire",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",51538.7,53084.5,56779.4,57632.6,59474.6,61892.7,64408.6,65034.4,66628.2,66853.6,65854.1,65023.4,67125.8,67559.1,68498.1,69080.3,70213.7,72042.4,73572.2,73972.7,75433.0,76819.1,75927.6,82986.3
 "33000","New Hampshire",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),60502.6,61006.3,63069.6,64737.1,66693.9,65825.5,67658.4,69662.7,70119.3,70958.0,74065.5,77808.0,80981.2,86042.2
 "33000","New Hampshire",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),52093.1,52977.4,54173.3,54654.6,55068.9,55907.8,57003.7,58239.2,58562.7,59309.6,61852.8,62836.0,60801.9,66480.0
 "33000","New Hampshire",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",40554.0,41955.2,45342.0,46817.5,49059.9,51637.6,54918.2,56952.6,60017.0,61782.1,61700.2,62522.9,64843.6,66153.2,68498.1,70476.2,72995.2,76478.0,79090.1,80598.0,83869.8,87338.2,88337.7,99673.3
 "33000","New Hampshire",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",36563.0,38924.2,43810.9,46136.8,46923.2,47829.3,50874.3,52744.0,56460.3,58663.4,60381.4,59358.0,62032.3,64945.3,67855.3,67703.7,70501.2,73474.6,76092.3,79312.5,83026.0,88822.8,94440.8,101674.5
 "33000","New Hampshire",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",32028.0,33896.4,37826.7,40465.1,42227.8,43471.1,46416.4,47710.0,50848.5,52495.7,54215.8,54716.7,56969.5,58971.7,61922.6,61147.8,63429.8,65717.7,67833.4,71013.4,74823.3,79876.1,85335.7,90066.3
 "33000","New Hampshire",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",29637.2,31960.8,34584.7,36600.3,38501.0,41145.6,43750.6,46421.1,48689.4,50566.6,52039.9,51614.7,53359.9,54909.1,56107.2,57580.1,59480.9,61532.0,63683.9,66455.7,69494.4,71883.0,71131.4,78793.9
 "33000","New Hampshire",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45978,46354,47885,48973,50248,49454,50521,51846,51900,52214,54265,56718,58774,61946
 "33000","New Hampshire",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39587,40253,41131,41346,41490,42003,42565,43345,43346,43643,45318,45804,44128,47862
 "33000","New Hampshire",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",30319,31852,35335,36747,36974,37371,39434,40619,43153,44695,45886,45101,47098,49131,51123,50865,52643,54684,56321,58362,60831,64747,68542,73200
 "33000","New Hampshire",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26559,27738,30508,32230,33274,33966,35978,36743,38863,39995,41200,41575,43254,44612,46653,45940,47363,48910,50208,52255,54821,58226,61934,64843
 "33000","New Hampshire",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24576,26154,27894,29152,30338,32149,33912,35750,37213,38526,39547,39218,40513,41538,42272,43259,44414,45795,47136,48901,50916,52399,51625,56727
 "33000","New Hampshire",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),105.908,103.578,102.874,102.339,101.885,101.615,101.418,102.462,104.413,105.653,103.727,104.061,105.258,102.510
 "33000","New Hampshire",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.898,97.428,98.498,100.466,101.885,102.991,104.346,105.654,108.745,112.049,112.354,114.398,116.989,118.523
 "33000","New Hampshire",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",743341,760763,783545,788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844499,860657,873126,882493,892528,890110,858502,888593
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
