GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "34000","New Jersey",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",433564.0,447872.1,471426.9,476616.7,484657.1,494703.5,498245.2,507894.7,516681.4,520898.3,534501.4,506850.7,513917.9,507604.0,517195.9,523725.8,522166.4,529953.7,535055.3,537578.5,550059.5,559648.8,535323.7,566893.2
 "34000","New Jersey",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),447914.7,418876.4,433882.0,438722.2,446636.0,447072.4,460439.1,478605.2,487674.6,495477.0,498848.5,519258.5,541199.7,567508.6
 "34000","New Jersey",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),345606.9,327709.9,338400.5,337179.1,340519.7,344669.2,349776.8,357133.9,363568.1,365054.7,368644.3,373918.1,363998.9,401857.8
 "34000","New Jersey",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",319861.3,336064.9,361005.4,373698.0,386132.5,400984.7,414848.6,435736.7,457593.1,474867.9,496227.2,482458.9,492762.4,495965.8,517195.9,534177.8,542842.8,563233.8,575501.0,587421.0,614106.5,637630.4,620085.9,682945.9
 "34000","New Jersey",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",287264.7,300654.0,330613.6,341787.7,346163.5,354361.8,370214.8,384731.4,413114.6,438001.1,451052.1,436504.0,449927.1,470008.1,487527.7,492488.2,515515.1,537105.9,552051.4,573105.5,598428.7,633651.0,663544.1,713720.6
 "34000","New Jersey",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",244047.0,253639.6,277131.7,287593.4,300467.0,311174.3,325677.4,333761.8,357150.7,374142.2,386231.3,387319.9,398231.0,410116.0,427955.6,425389.6,445655.4,461508.6,475056.9,494469.7,519247.7,549843.3,579483.8,615630.5
 "34000","New Jersey",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",205456.0,219538.6,236810.5,249301.3,261664.4,277140.7,293198.3,309869.0,325927.2,338978.1,348370.1,341956.3,351425.5,361742.9,372222.5,380191.6,392156.7,401477.9,412421.0,423288.3,443243.8,457257.1,447693.8,506908.8
 "34000","New Jersey",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51419,47841,49254,49423,49997,49759,50968,52730,53474,54004,54112,56083,58321,61239
 "34000","New Jersey",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39674,37429,38415,37984,38118,38361,38718,39347,39866,39788,39988,40385,39225,43364
 "34000","New Jersey",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71505,77016
 "34000","New Jersey",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",29448,30341,32872,33864,35131,36177,37718,38576,41233,43114,44338,44237,45207,46200,47906,47345,49332,50846,52090,53894,56325,59386,62446,66432
 "34000","New Jersey",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24791,26262,28089,29355,30595,32220,33956,35815,37629,39062,39992,39056,39894,40751,41667,42315,43410,44232,45222,46135,48080,49386,48244,54700
 "34000","New Jersey",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.864,110.934,108.462,109.286,109.310,108.833,108.971,109.020,108.919,109.333,111.004,111.239,110.661,109.099
 "34000","New Jersey",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),100.800,104.347,103.849,107.285,109.310,110.306,112.116,112.417,113.437,115.952,120.236,122.288,122.993,126.141
 "34000","New Jersey",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4500635,4571128,4748598,4777145,4791993,4825005,4909617,4991146,5057223,5130158,5123820,4992063,4960621,5018505,5053839,5132846,5206784,5303122,5391249,5448782,5550060,5571414,5319600,5537228
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
