GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "32000","Nevada",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",94672.8,101394.7,105635.4,106635.3,110448.6,115275.4,127325.6,137508.8,142967.1,144107.1,139954.2,128241.3,129828.4,130697.9,129312.9,129720.9,130897.4,136347.4,140081.2,145485.5,150448.0,156959.1,146492.5,159567.3
 "32000","Nevada",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),107683.5,99930.8,105049.5,105060.3,107664.8,108795.3,115167.1,125179.6,130456.3,132698.3,143942.9,148905.6,160354.1,171884.2
 "32000","Nevada",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91260.6,85520.9,88208.9,88276.3,89658.6,93053.8,96468.3,100925.0,105361.6,106664.9,115285.7,115720.9,114909.0,127591.1
 "32000","Nevada",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",65114.2,71595.9,76833.1,80429.2,85008.7,90633.6,103231.0,116166.2,125848.3,131620.9,130609.5,122127.1,124669.4,127677.9,129312.9,132086.4,136008.7,145115.9,151840.4,160653.1,170257.6,182186.3,172562.6,194486.6
 "32000","Nevada",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",54324.4,58824.9,64571.6,68116.6,69843.2,74483.4,82663.2,92687.4,100318.1,104595.5,103056.2,97267.1,101307.0,105105.4,109347.4,109870.5,117372.2,127117.0,132058.4,140347.5,149611.8,161433.6,172538.5,189308.2
 "32000","Nevada",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",47465.5,51380.5,56265.1,59770.1,62402.4,67098.8,74011.5,82065.5,88975.6,92869.4,92558.1,89126.1,92946.0,95859.0,99421.2,98492.9,105779.5,114092.7,117465.4,125702.6,134102.3,145491.0,156436.5,168877.1
 "32000","Nevada",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",41657.4,46167.1,50610.4,53759.1,57068.2,61293.1,67769.6,74539.1,80749.5,85769.9,87424.9,83352.3,85190.2,88441.1,91188.8,94099.5,98451.3,102663.7,106878.1,113091.0,120099.8,125722.2,124030.6,140947.0
 "32000","Nevada",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40580,37223,38879,38760,39295,39276,40988,43815,44898,44897,47796,48520,51493,54671
 "32000","Nevada",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34391,31855,32646,32568,32723,33593,34333,35325,36262,36089,38280,37707,36900,40583
 "32000","Nevada",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29314,30405,31986,32461,32130,33121,35232,38109,39767,40212,38836,36231,37494,38777,39909,39664,41773,44493,45450,47485,49678,52602,55406,60213
 "32000","Nevada",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25613,26557,27871,28484,28707,29837,31545,33742,35271,35704,34880,33198,34399,35366,36286,35556,37647,39934,40427,42530,44528,47408,50235,53714
 "32000","Nevada",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22479,23862,25070,25619,26253,27255,28885,30648,32010,32975,32945,31048,31529,32629,33281,33970,35039,35934,36783,38263,39879,40966,39829,44831
 "32000","Nevada",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.560,103.617,100.868,102.055,101.707,99.773,99.192,98.649,97.399,99.973,96.177,98.826,97.115,95.543
 "32000","Nevada",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.797,97.464,96.578,100.187,101.707,101.124,102.056,101.723,101.439,106.025,104.176,108.643,107.938,110.468
 "32000","Nevada",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1131237,1189071,1254358,1285310,1299543,1353123,1441158,1533724,1604488,1643860,1619014,1512913,1478054,1501839,1519198,1561388,1608494,1664658,1724741,1780628,1848916,1884215,1770936,1875709
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
