GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "36000","New York",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",997251.9,1051337.6,1092188.2,1112794.4,1106150.8,1110613.1,1144125.1,1168891.1,1199276.9,1208564.6,1190080.9,1230672.3,1277466.8,1279527.1,1328233.5,1329376.3,1353410.4,1373643.0,1403230.5,1419112.1,1458382.4,1500833.4,1432507.0,1514779.2
 "36000","New York",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),884580.3,873472.7,904311.1,921423.3,959322.5,958854.8,989795.3,1024649.7,1046174.3,1092840.7,1107482.6,1133230.0,1182584.0,1207418.8
 "36000","New York",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),659918.4,659911.2,680795.2,687733.1,702173.4,715168.2,743544.8,761227.1,775750.7,794069.4,822051.6,838695.0,789404.0,834351.8
 "36000","New York",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",745502.4,795230.0,841181.3,878346.5,890258.1,912474.6,967151.9,1016037.5,1075154.6,1119381.5,1116591.0,1160081.3,1223529.7,1247605.8,1328233.5,1365529.0,1430923.3,1487627.6,1551354.1,1604649.9,1697661.4,1787666.0,1740804.7,1901296.5
 "36000","New York",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",600946.9,637109.2,685783.3,711466.3,709785.0,720548.9,754007.4,782224.9,843047.5,907402.6,925727.6,907953.4,947076.6,997755.8,1049158.2,1062135.4,1105907.8,1154722.9,1194534.6,1270251.6,1311427.5,1362298.6,1442624.6,1524128.5
 "36000","New York",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",504950.8,532482.7,571297.6,585944.9,608957.7,624289.0,649902.1,664127.1,706051.7,750502.2,767550.5,786813.4,816666.7,848044.0,897288.6,889080.0,921845.9,956283.8,1000852.5,1063603.3,1097649.2,1143542.4,1225726.1,1275163.9
 "36000","New York",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",406004.2,434642.2,467342.0,486283.5,504179.9,531530.1,563955.6,600786.2,633801.5,666993.2,691294.9,686876.2,714028.7,745776.5,769016.2,793263.1,831917.2,859339.4,887610.6,925248.7,975658.7,1010359.1,966027.5,1056366.2
 "36000","New York",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46042,45241,46566,47009,48555,48203,49485,51006,51917,54127,54764,56039,58675,60870
 "36000","New York",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34349,34180,35056,35087,35540,35952,37174,37893,38497,39329,40650,41474,39167,42063
 "36000","New York",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",32040,33740,36090,37283,37088,37576,39329,40884,44128,47428,48184,47027,48768,50904,53102,53395,55290,57481,59280,62913,64849,67366,71577,76837
 "36000","New York",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26922,28199,30065,30705,31820,32556,33899,34712,36957,39227,39951,40753,42053,43266,45415,44695,46088,47603,49668,52678,54278,56549,60815,64286
 "36000","New York",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21647,23018,24595,25483,26345,27719,29416,31401,33175,34862,35982,35576,36768,38048,38923,39878,41592,42777,44048,45826,48246,49963,47930,53255
 "36000","New York",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),111.057,110.656,109.540,110.462,109.519,109.438,108.746,109.478,109.862,109.869,109.573,109.583,110.104,109.504
 "36000","New York",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),104.755,104.086,104.882,108.440,109.519,110.920,111.885,112.889,114.420,116.520,118.686,120.468,122.374,126.609
 "36000","New York",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",9901394,10164527,10424526,10438676,10348345,10377811,10513327,10654520,10810191,11082809,11197699,10984350,11005742,11294064,11432840,11619137,11865518,12099185,12259136,12391366,12655225,12746559,11872381,12186762
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
