GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "39000","Ohio",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",487532.8,499292.8,509949.2,502967.6,513215.5,519939.4,534064.6,545968.7,545504.1,546729.3,537124.1,511076.5,523979.4,541180.2,545740.1,556210.5,574177.9,578852.4,583946.4,593636.0,597925.5,613251.4,594143.6,629287.0
 "39000","Ohio",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),486456.5,469575.1,476237.0,500767.5,507110.4,507549.9,521060.5,545498.9,549630.3,562913.7,565879.1,576408.9,618686.1,628659.7
 "39000","Ohio",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),401322.8,391962.8,398688.3,408607.0,411365.3,416168.6,424714.3,440161.4,447327.1,457629.4,460031.2,462835.0,456881.6,485839.9
 "39000","Ohio",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",361638.1,376465.2,392277.2,396944.5,411034.5,423780.2,446225.3,468891.6,482738.1,497761.5,496919.4,482281.1,500515.3,528189.9,545740.1,566532.4,595640.9,611019.5,623265.3,645636.8,667115.6,697166.8,684382.5,756617.2
 "39000","Ohio",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",299095.8,308329.3,324977.5,333912.2,338738.3,348858.5,362572.6,373789.4,392816.9,409745.8,424081.9,412219.0,425361.8,453595.4,471703.9,479088.7,498894.6,518826.8,529069.6,547516.6,568458.4,589835.8,631330.7,670035.6
 "39000","Ohio",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",258052.7,266288.4,280098.4,288690.6,298143.4,310490.2,323324.7,331280.4,346940.6,360786.5,375447.5,374038.0,384523.9,405926.7,422652.4,426707.8,444950.2,461507.0,470845.0,488603.5,510060.4,528419.8,569348.7,597881.0
 "39000","Ohio",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",231078.7,244679.6,261025.6,271659.1,280788.5,293562.7,306342.4,320609.2,331271.8,344313.1,350208.5,344545.5,356615.9,370648.3,383185.7,393358.5,407208.5,419361.5,431492.2,446207.2,463184.2,474617.8,467691.0,519370.2
 "39000","Ohio",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42244,40730,41262,43327,43818,43710,44732,46727,46969,47958,48107,48896,52473,53367
 "39000","Ohio",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34851,33998,34543,35353,35545,35841,36461,37704,38227,38988,39109,39261,38750,41243
 "39000","Ohio",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26442,27200,28598,29323,29693,30509,31660,32607,34214,35629,36827,35755,36854,39245,40759,41259,42829,44442,45212,46646,48327,50035,53545,56879
 "39000","Ohio",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22813,23492,24649,25352,26135,27153,28232,28899,30218,31371,32604,32444,33316,35121,36520,36748,38198,39532,40237,41627,43362,44825,48288,50754
 "39000","Ohio",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20429,21585,22970,23856,24614,25673,26750,27968,28853,29939,30412,29885,30898,32069,33110,33876,34958,35922,36874,38015,39377,40261,39666,44089
 "39000","Ohio",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.513,93.451,93.420,92.402,93.150,93.256,93.188,92.396,92.618,91.938,92.954,93.280,92.102,92.459
 "39000","Ohio",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.264,87.903,89.447,90.710,93.150,94.519,95.878,95.274,96.460,97.504,100.685,102.546,102.366,106.902
 "39000","Ohio",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6599132,6681355,6789300,6725753,6640240,6620830,6666592,6709210,6747271,6794918,6725195,6454964,6418162,6521658,6605931,6680769,6771468,6862127,6931334,6987859,7066978,7072285,6853595,7010299
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
