GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "40000","Oklahoma",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",117596.0,119685.4,124227.6,128891.2,131293.3,133417.2,138096.8,143471.1,152857.7,156219.5,162387.0,160091.6,160564.2,166327.2,174874.4,177698.9,189360.0,197071.9,193025.1,194017.2,197453.2,201161.5,192485.5,193230.0
 "40000","Oklahoma",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),168501.2,158113.6,160021.7,166958.2,174891.2,181077.0,189720.5,184799.0,173959.3,181159.6,187869.3,195244.0,201106.9,206387.4
 "40000","Oklahoma",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),119638.4,119331.3,120300.5,122592.7,124217.5,125604.1,128094.1,130635.4,131625.3,134440.0,139778.2,140973.4,138225.0,147633.3
 "40000","Oklahoma",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",81196.9,84223.9,91093.9,97059.6,99479.2,105713.5,113873.8,125081.6,137436.5,145752.1,160763.7,146633.0,154287.4,166235.8,174874.4,182694.7,196631.6,186815.6,181244.4,190553.0,202712.5,204192.5,190063.6,215336.3
 "40000","Oklahoma",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",74933.7,77034.2,83519.2,88786.3,90797.9,95327.6,103161.6,113042.8,125269.2,129786.5,144283.1,133523.6,140140.3,150709.9,161128.4,169382.6,180469.0,175134.0,166547.7,174159.6,182341.2,191851.6,200152.9,214760.7
 "40000","Oklahoma",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",65989.3,67757.7,73501.1,78189.7,81728.7,86664.5,94100.4,102280.8,112690.9,116140.6,129663.9,122918.2,129062.8,136965.4,146660.0,153753.7,163942.4,158490.6,150901.3,158086.7,166475.8,175254.4,183543.9,195963.3
 "40000","Oklahoma",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",59763.6,63402.6,67647.7,70755.9,72822.0,76708.2,80825.1,86850.6,92783.0,97879.7,102544.0,100907.1,105507.6,110821.1,114604.4,117649.8,122016.0,124016.6,126280.4,129563.3,135975.2,138817.0,138003.6,154084.0
 "40000","Oklahoma",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45926,42531,42564,44091,45839,47056,49003,47372,44413,46209,47822,49507,50759,51770
 "40000","Oklahoma",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32608,32099,31998,32375,32557,32640,33086,33487,33605,34292,35581,35746,34887,37032
 "40000","Oklahoma",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44423,46415,48646,50518,53870
 "40000","Oklahoma",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19379,19713,21278,22552,23424,24727,26693,28823,31355,31956,35341,33064,34329,36171,38439,39956,42345,40628,38526,40324,42377,44438,46326,49155
 "40000","Oklahoma",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17551,18446,19583,20408,20871,21886,22928,24475,25815,26932,27949,27143,28064,29266,30038,30573,31516,31791,32241,33048,34613,35199,34832,38650
 "40000","Oklahoma",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),90.868,89.898,91.599,92.083,92.261,92.416,92.582,92.065,92.118,90.872,89.810,89.573,89.829,90.269
 "40000","Oklahoma",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.712,84.560,87.703,90.398,92.261,93.667,95.255,94.933,95.939,96.373,97.279,98.470,99.840,104.369
 "40000","Oklahoma",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1938705,1953349,1994373,2009183,1987464,1971242,1998008,2043018,2095927,2149852,2186554,2136548,2130128,2158874,2211773,2248291,2272885,2287598,2286923,2291797,2311450,2309852,2263126,2289520
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
