GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "41000","Oregon",8,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",123994.7,126739.2,137400.6,136166.1,138932.5,144802.8,152001.1,158163.4,166107.2,168975.1,173598.5,165527.2,169234.0,173831.7,174611.0,175933.8,181220.6,189946.5,198079.3,205524.0,214902.5,219588.0,215743.6,227979.1
 "41000","Oregon",8,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),151583.1,143337.6,146365.8,149477.3,153100.0,154611.6,164332.3,174142.1,182637.5,185311.8,187108.3,194953.0,211001.0,220212.2
 "41000","Oregon",8,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),130427.0,125276.2,128493.6,129396.6,128701.4,131818.9,137318.6,142061.1,148847.2,151700.8,152583.9,157818.9,155827.4,170303.4
 "41000","Oregon",8,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",105146.8,107621.5,117154.6,116963.6,120665.5,126671.5,135646.8,143507.8,153593.1,159585.2,164925.4,159607.3,164137.2,170630.9,174611.0,179527.7,188120.7,200659.6,211305.9,222601.6,237113.7,247233.1,247966.7,272190.9
 "41000","Oregon",8,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",87241.0,90337.0,97354.7,99975.9,101008.6,104740.8,110638.8,116691.6,127440.2,133555.6,139412.2,134493.3,138291.6,145596.1,153548.0,156130.0,167077.3,179600.2,188283.3,198957.5,211541.6,222257.0,241790.3,261546.5
 "41000","Oregon",8,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",75144.7,77311.4,82962.9,86298.7,88948.9,92963.8,98240.1,102118.3,111236.1,117255.4,122188.3,121153.6,124134.9,129002.5,136371.5,136677.5,146217.8,155978.8,163022.7,172809.7,184596.2,193434.1,212803.6,227476.8
 "41000","Oregon",8,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",70774.4,75645.5,80905.2,83903.8,87237.6,91496.6,97919.6,104621.6,111395.2,117423.1,120072.8,117703.1,121582.0,126218.0,129260.8,133292.0,139805.2,146766.3,153768.8,163272.2,172903.2,180302.5,179129.5,202876.8
 "41000","Oregon",8,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40221,37635,38140,38598,39256,39401,41442,43335,44620,44684,44726,46241,49746,51862
 "41000","Oregon",8,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34608,32893,33483,33413,33000,33592,34629,35352,36365,36579,36474,37434,36738,40108
 "41000","Oregon",8,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",26023,26617,28386,28829,28749,29526,30996,32296,34716,35879,36992,35313,36036,37596,39371,39788,42134,44694,45999,47974,50567,52718,57005,61596
 "41000","Oregon",8,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22415,22779,24189,24885,25317,26206,27522,28263,30302,31500,32421,31811,32347,33311,34966,34831,36874,38816,39828,41669,44126,45881,50171,53572
 "41000","Oregon",8,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21111,22288,23590,24194,24830,25793,27433,28955,30346,31545,31860,30905,31682,32592,33143,33968,35256,36523,37567,39369,41331,42766,42232,47779
 "41000","Oregon",8,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.600,99.886,98.824,99.362,100.435,99.767,98.954,100.191,99.192,101.484,104.616,103.924,103.427,103.032
 "41000","Oregon",8,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.061,93.955,94.621,97.544,100.435,101.118,101.811,103.312,103.306,107.628,113.317,114.246,114.954,119.127
 "41000","Oregon",8,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2021755,2051144,2092153,2079058,2062096,2076533,2132982,2196887,2256424,2307415,2288619,2189148,2174324,2201553,2219899,2259714,2323122,2391112,2450316,2516089,2569916,2578253,2493784,2559454
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
