GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "44000","Rhode Island",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",41912.5,43144.9,45178.6,45749.8,47224.5,48571.1,50513.8,51369.7,52899.6,51469.1,50575.2,50004.3,51332.8,51279.6,51583.0,51910.8,52293.4,52819.1,52902.6,52691.8,52553.3,53411.4,51516.1,54606.0
 "44000","Rhode Island",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),45685.2,44367.8,46844.5,47558.5,48960.4,47494.2,49590.4,50499.6,50845.9,51014.0,52025.0,54393.8,58170.3,59937.3
 "44000","Rhode Island",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37749.0,37270.5,38033.5,38309.1,38486.5,38283.8,39634.4,40092.0,40734.0,40539.9,41435.1,41782.0,40193.9,43543.6
 "44000","Rhode Island",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",30818.5,32267.2,34466.8,35862.8,37809.2,39638.0,42363.9,44374.1,47204.4,47340.8,47277.5,47702.2,49468.3,50206.1,51583.0,53034.1,54559.7,56390.8,57353.5,58085.0,59290.8,61642.8,60770.6,66570.9
 "44000","Rhode Island",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",28410.0,29647.4,31946.5,33633.3,34972.6,36747.8,38606.4,39495.5,41490.7,43237.9,43928.6,42788.7,45116.2,46793.7,48501.7,48544.7,50646.2,52447.6,53229.7,55310.7,57490.5,61107.2,65709.0,70531.5
 "44000","Rhode Island",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",24725.1,25783.2,27580.1,29090.1,30984.0,32871.1,34581.8,35147.3,36766.0,38137.8,38889.9,38857.6,40917.2,41835.7,43593.4,43090.1,44902.0,46383.9,46981.2,48956.8,51189.6,54318.0,58730.1,62272.3
 "44000","Rhode Island",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",21955.3,23393.7,25345.4,26639.2,28065.2,29979.2,31577.4,33233.1,34645.3,35737.9,36333.3,35991.9,36683.6,37747.3,38179.9,39183.0,40534.1,41710.4,42732.8,44062.5,45892.7,47038.0,45546.3,51393.9
 "44000","Rhode Island",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43303,42109,44404,44924,46033,44463,46215,46874,46982,47021,47653,49696,53064,54707
 "44000","Rhode Island",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35781,35373,36052,36187,36185,35841,36937,37214,37638,37367,37953,38174,36666,39744
 "44000","Rhode Island",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27552,28496,30417,31815,32807,34301,35927,36984,39028,40894,41638,40610,42766,44201,45601,45447,47199,48682,49184,50982,52659,55830,59941,64376
 "44000","Rhode Island",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23978,24782,26260,27518,29066,30682,32182,32912,34584,36070,36862,36879,38786,39518,40987,40340,41846,43054,43411,45125,46888,49627,53575,56838
 "44000","Rhode Island",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21292,22485,24132,25199,26328,27983,29386,31120,32589,33801,34439,34159,34773,35656,35897,36682,37775,38716,39485,40614,42036,42976,41548,46909
 "44000","Rhode Island",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.040,102.665,100.735,100.370,99.203,100.981,99.401,100.893,100.728,102.485,102.254,102.408,101.954,102.083
 "44000","Rhode Island",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.250,96.569,96.451,98.533,99.203,102.349,102.270,104.037,104.907,108.689,110.758,112.580,113.316,118.029
 "44000","Rhode Island",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",554761,566528,582589,585235,588132,594108,602399,605736,611123,617985,608905,588284,586363,591692,592978,602429,613133,627028,633501,638895,648735,651037,615726,639211
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
