GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "46000","South Dakota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",26440.4,27463.4,29386.1,29455.2,32784.9,32979.1,34269.6,35842.2,36350.8,37755.9,39080.8,39987.3,40369.6,43049.5,43901.5,44147.4,44846.5,45664.5,46076.0,45775.8,46300.3,46650.5,47402.4,49557.9
 "46000","South Dakota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40604.5,38921.1,39836.5,42726.1,41563.0,42034.0,43294.0,45656.0,45635.7,47069.2,46229.0,48422.0,53347.4,55542.1
 "46000","South Dakota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30241.6,30114.6,30603.9,31526.3,30947.1,31863.7,32464.8,34386.2,35288.7,37046.3,36478.8,37127.7,37167.5,41010.7
 "46000","South Dakota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",20228.1,21078.7,22743.3,23412.1,26322.1,27216.1,29271.3,30997.4,32364.5,35073.0,36603.0,36432.9,37852.5,41892.1,43901.5,45361.0,46785.4,48070.2,49151.4,50232.5,52299.3,54001.3,55681.2,61684.7
 "46000","South Dakota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",18111.9,18990.0,20275.5,20953.8,20955.1,22890.3,24671.7,26202.3,27640.3,30673.9,32898.7,31893.7,33804.0,36842.8,37844.2,38365.9,40252.3,41912.7,42336.8,43599.0,45660.9,48797.0,53621.5,57717.8
 "46000","South Dakota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",16429.3,17135.2,18340.9,18960.9,19237.4,21313.8,22978.2,24239.0,25340.2,28096.7,30184.7,29835.3,31567.1,34089.2,34822.6,35109.1,36710.2,38161.4,38527.4,39937.3,42112.3,45080.7,49853.7,53212.9
 "46000","South Dakota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",13667.1,14585.2,15553.0,16289.6,17008.2,18034.0,19348.3,20733.1,22092.7,23381.3,24526.6,24710.2,26007.3,27224.3,28218.1,29122.1,30225.5,31621.4,32806.0,34399.5,36112.8,37494.4,37476.5,42745.0
 "46000","South Dakota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),50811,48225,48815,51905,49908,49969,51076,53578,53025,54092,52815,54869,60137,62032
 "46000","South Dakota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37843,37314,37501,38299,37160,37879,38300,40353,41002,42574,41676,42071,41898,45803
 "46000","South Dakota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24277,25306,26825,27645,27572,29972,32025,33788,35299,38748,41168,39518,41423,44758,45442,45608,47488,49186,49192,50104,52166,55294,60446,64462
 "46000","South Dakota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22021,22834,24265,25015,25312,27908,29826,31256,32362,35492,37772,36968,38681,41413,41814,41737,43309,44783,44765,45896,48112,51083,56199,59431
 "46000","South Dakota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18319,19436,20577,21491,22379,23613,25115,26735,28214,29536,30692,30617,31869,33073,33883,34619,35659,37108,38118,39532,41258,42486,42246,47740
 "46000","South Dakota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.981,87.233,88.755,87.964,91.182,90.175,90.490,89.181,89.262,87.555,91.395,91.863,90.721,90.147
 "46000","South Dakota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),81.102,82.054,84.980,86.354,91.182,91.396,93.103,91.959,92.965,92.855,98.997,100.988,100.831,104.229
 "46000","South Dakota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",490715,501684,512377,511664,509549,509653,518410,527755,538720,551957,561007,556453,558135,566480,574966,581384,589296,592591,597324,601277,610237,610900,606699,622335
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
