GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "47000","Tennessee",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",223711.3,230895.6,233732.2,233362.5,240971.7,248993.8,260553.5,268391.7,274879.2,273224.0,274571.1,264737.1,268449.8,276898.3,286341.5,289794.6,294130.1,304484.2,310143.2,318963.9,323541.6,331176.6,323454.0,352461.2
 "47000","Tennessee",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),252507.5,254563.3,256833.7,264019.5,271551.3,271149.0,279172.5,293407.7,296180.0,307071.5,329541.0,338398.1,361140.2,376694.6
 "47000","Tennessee",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),209263.6,209622.3,210160.7,213085.1,214215.3,215761.8,222388.1,228978.6,232710.3,241725.0,258185.4,259440.1,257743.8,281997.3
 "47000","Tennessee",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",167394.6,176281.9,182247.2,186441.3,195764.3,205126.4,219327.9,231633.5,243583.9,248692.4,254242.0,252332.8,257776.0,269814.2,286341.5,295862.7,306153.1,325294.0,336413.9,350838.7,363055.5,380128.5,379007.1,427125.5
 "47000","Tennessee",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",139897.2,145517.2,154378.5,158384.6,162942.4,170160.3,180115.4,189003.8,201325.2,210986.9,219027.3,217218.6,227883.0,241617.6,254470.6,256753.8,267288.7,281281.1,290239.9,302461.6,319022.2,338609.2,362278.1,394520.4
 "47000","Tennessee",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",125640.3,130714.6,138984.5,142458.5,149289.9,157114.3,166798.9,173904.1,183782.2,192069.3,200708.2,203439.3,212926.9,223916.7,236017.1,236354.4,245434.6,257101.7,264464.9,276828.3,293642.8,311678.4,334898.0,360727.3
 "47000","Tennessee",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",110964.3,118263.8,126206.0,129992.3,134628.3,140625.2,149220.1,158956.4,168266.9,177608.3,181695.8,179109.0,186742.5,195285.2,201025.4,204581.1,213215.6,219893.4,228519.0,238681.9,250515.5,260150.9,259372.2,296228.3
 "47000","Tennessee",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40418,40368,40406,41225,42016,41666,42565,44369,44389,45563,48415,49312,52187,54005
 "47000","Tennessee",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33496,33242,33063,33272,33144,33155,33907,34626,34877,35867,37932,37806,37246,40428
 "47000","Tennessee",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25116,25807,27066,27541,28113,29098,30472,31548,33065,34164,35059,34446,35851,37727,39373,39454,40753,42535,43499,44879,46870,49343,52351,56560
 "47000","Tennessee",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22556,23182,24367,24772,25758,26867,28219,29027,30184,31101,32127,32261,33498,34963,36518,36320,37421,38879,39636,41076,43141,45418,48395,51716
 "47000","Tennessee",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19922,20974,22127,22604,23228,24047,25245,26532,27636,28759,29083,28403,29379,30493,31104,31437,32509,33252,34249,35416,36805,37910,37481,42469
 "47000","Tennessee",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.050,90.837,92.804,93.355,93.843,93.551,93.185,93.131,94.288,93.105,89.579,91.214,90.541,90.854
 "47000","Tennessee",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),86.826,85.444,88.857,91.647,93.843,94.818,95.875,96.032,98.199,98.741,97.029,100.274,100.632,105.047
 "47000","Tennessee",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3339584,3397301,3459310,3421028,3408733,3433441,3507914,3572052,3643562,3702452,3677072,3523861,3515804,3589041,3635195,3688630,3772332,3859507,3951854,4033035,4119492,4168951,4121399,4248764
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
