GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "48000","Texas",6,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",925556.7,961513.2,995661.2,1020537.8,1043566.9,1050609.4,1109477.0,1141373.7,1228547.3,1286192.7,1282088.7,1277295.4,1309962.4,1353600.4,1421180.1,1484700.1,1529617.1,1605901.7,1619954.2,1659453.3,1728304.0,1779781.4,1747562.0,1815063.6
 "48000","Texas",6,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1056778.5,1011036.6,1050296.1,1127859.3,1176886.0,1188512.3,1256278.4,1277568.1,1267263.9,1346399.1,1402409.9,1443763.7,1484887.2,1556765.2
 "48000","Texas",6,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),798674.1,802445.5,821953.1,855433.3,873935.7,894965.1,930924.3,966868.6,998939.1,1035745.1,1064172.6,1081690.7,1064976.8,1169659.2
 "48000","Texas",6,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",645142.6,679870.3,738677.0,773375.5,789817.6,833342.3,913444.4,995252.4,1103197.6,1191093.1,1244294.9,1169607.7,1245959.4,1341334.4,1421180.1,1515195.6,1579299.5,1573498.4,1579014.9,1673234.3,1809396.7,1858757.8,1789933.4,2051768.6
 "48000","Texas",6,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",515146.6,545418.2,594466.0,631990.8,640381.6,665861.1,698584.4,757968.6,832292.1,883810.4,971051.2,924343.9,985165.1,1077403.3,1152725.2,1184840.5,1274636.9,1300510.1,1296480.8,1387922.6,1482714.1,1560503.5,1624525.8,1767681.7
 "48000","Texas",6,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",456096.1,483300.2,524118.1,560567.7,581623.0,610593.3,642480.0,688644.9,751236.4,795204.2,867637.5,854290.5,907409.4,980053.3,1049748.2,1069407.7,1147452.2,1169527.1,1175096.7,1249898.2,1351230.3,1417682.9,1479123.6,1591616.7
 "48000","Texas",6,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",404150.0,434458.2,472005.9,498607.6,516633.6,541573.6,575591.4,620204.2,661764.6,702866.4,734606.7,734617.2,772104.7,818338.9,857206.9,893396.7,945832.8,985928.1,1024102.9,1070314.7,1127680.2,1171626.5,1168805.2,1332115.7
 "48000","Texas",6,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43473,40765,41614,44005,45168,44954,46688,46628,45536,47758,49189,50030,50822,52722
 "48000","Texas",6,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32855,32354,32567,33376,33541,33851,34597,35288,35894,36739,37325,37484,36450,39612
 "48000","Texas",6,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39034,42037,44241,44816,47370,47465,46586,49231,52005,54076,55601,59865
 "48000","Texas",6,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22627,23509,25024,26294,26815,27715,28690,30233,32160,33367,35692,34445,35953,38238,40288,40449,42644,42685,42224,44335,47393,49127,50624,53902
 "48000","Texas",6,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20050,21133,22536,23387,23819,24582,25703,27228,28329,29493,30219,29620,30592,31929,32899,33792,35151,35984,36798,37965,39553,40600,40003,45114
 "48000","Texas",6,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.512,97.326,98.108,97.447,98.086,98.491,98.751,98.890,98.436,97.439,97.831,98.528,98.745,98.502
 "48000","Texas",6,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.978,91.547,93.935,95.664,98.086,99.825,101.601,101.971,102.519,103.338,105.968,108.314,109.749,113.889
 "48000","Texas",6,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",11541749,11761409,12138771,12284685,12291978,12374891,12588027,13003858,13493427,14008182,14365941,14202794,14262558,14681432,15095912,15529989,16000512,16414591,16683310,17104535,17607238,17902900,17706662,18276115
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
