GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "49000","Utah",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",85724.8,89282.0,92498.4,93556.7,95383.1,97017.3,102846.7,110046.4,118482.3,123835.3,124225.5,121431.4,123902.2,127992.5,129512.5,133112.9,136993.7,141720.5,147962.3,154758.3,164622.1,172038.4,174954.7,186910.0
 "49000","Utah",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),98478.8,92355.2,95815.5,98660.1,103862.9,106427.7,112153.6,120716.5,127334.3,129351.7,140263.3,147395.7,162511.4,171487.3
 "49000","Utah",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),80402.1,77099.7,79861.7,79792.6,82570.4,85517.8,89678.0,94078.2,99398.4,101466.5,109539.1,112126.9,115765.3,130179.0
 "49000","Utah",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",62296.1,66019.3,70295.9,73057.6,75796.9,78945.4,86081.9,95355.1,106537.3,114813.4,117178.9,113985.4,118669.8,125565.0,129512.5,135450.4,142150.1,149153.4,157827.3,168649.9,184457.5,196538.9,202133.4,225340.3
 "49000","Utah",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",48227.5,50859.2,54450.8,56922.7,58562.9,60872.6,64886.8,71095.3,79116.0,86153.1,90386.9,86761.6,89439.2,96356.7,102990.8,106176.2,112620.2,121339.2,127881.4,135162.2,145255.8,157045.2,171385.4,186990.5
 "49000","Utah",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",42194.8,44432.1,47552.4,50013.2,52536.8,55031.0,58761.0,63426.6,70088.0,76004.1,80681.2,79027.1,81615.4,87172.8,92866.2,94916.9,100535.2,107825.2,113226.9,120020.2,129104.1,139047.2,152659.2,163897.7
 "49000","Utah",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",39429.7,41686.7,44820.9,46874.3,49194.5,51832.4,56035.9,60621.2,65910.3,71138.3,73868.2,72526.6,74655.6,78041.7,81993.0,85430.1,90175.4,94726.6,100033.9,106285.2,113697.3,119720.1,122472.1,142373.9
 "49000","Utah",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36980,33911,34514,35007,36310,36597,38010,40251,41571,41382,44096,45595,49521,51375
 "49000","Utah",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),30192,28310,28768,28313,28866,29407,30393,31369,32451,32461,34437,34685,35276,38999
 "49000","Utah",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32218,34190,36005,36511,38168,40459,41750,43241,45665,48580,52225,56019
 "49000","Utah",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19481,20164,21186,21900,22598,23317,24468,25807,27752,29258,30297,29018,29399,30931,32465,32639,34072,35953,36965,38397,40587,43013,46519,49101
 "49000","Utah",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18204,18919,19969,20525,21161,21962,23333,24666,26098,27385,27738,26631,26892,27691,28664,29377,30561,31585,32658,34003,35744,37034,37320,42653
 "49000","Utah",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.400,100.007,97.633,99.629,99.301,98.563,97.733,97.647,96.631,98.770,95.826,97.125,95.185,94.592
 "49000","Utah",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.873,94.069,93.481,97.806,99.301,99.898,100.555,100.689,100.639,104.749,103.796,106.772,105.793,109.368
 "49000","Utah",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1309652,1338175,1380538,1391757,1395322,1405788,1453405,1517566,1592736,1676394,1688150,1633982,1620799,1664426,1706060,1753371,1803953,1865926,1933142,1995293,2069735,2103036,2135409,2229147
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
