GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "51000","Virginia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",315091.0,332373.3,348327.0,360601.1,364932.4,377723.8,392941.3,412084.6,419870.6,424939.5,431216.7,427648.9,441242.4,444288.0,445973.6,449063.8,447678.1,455162.4,459965.8,467362.0,477915.2,489199.1,478909.3,505351.0
 "51000","Virginia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),366361.8,362655.9,367446.0,380475.2,394342.2,382951.3,393883.1,410329.4,420119.2,434724.7,438591.8,462257.6,479242.0,486026.0
 "51000","Virginia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),285558.4,285936.8,288740.2,293378.1,298922.8,298480.0,303311.5,308892.1,316891.0,326015.3,331431.0,342189.0,329026.2,352615.9
 "51000","Virginia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",231384.0,249801.1,268470.9,285635.9,295355.7,311665.7,332115.1,358069.7,376235.7,391699.8,404634.9,410967.4,426992.4,435180.3,445973.6,457640.5,465181.8,483786.5,496021.1,511114.9,532906.5,557764.4,556992.6,604957.6
 "51000","Virginia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",200072.5,214461.2,232469.6,244753.6,251379.6,266597.6,285112.6,304350.0,325251.8,342962.7,356536.0,349428.5,365245.5,385984.5,404179.7,401684.3,419329.6,438272.8,449830.1,466610.7,483922.1,507874.1,536817.2,573027.9
 "51000","Virginia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",171533.8,182430.3,197855.4,208797.6,220080.6,235720.4,252748.8,267018.5,284102.6,298854.3,310976.9,312777.5,326064.0,340376.3,358339.4,352110.1,367371.8,381875.6,391972.3,407054.8,423521.2,442540.1,470939.4,497206.6
 "51000","Virginia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",150289.6,162484.3,175778.3,184652.3,194618.7,206836.8,223149.6,240380.6,254834.8,268071.1,278173.2,275875.0,287429.0,298054.0,306813.9,313500.7,323352.6,330496.5,340009.9,350788.7,366521.5,376752.0,369718.3,416984.5
 "51000","Virginia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46769,45756,45787,46928,48109,46308,47265,48908,49750,51129,51315,53768,55519,56238
 "51000","Virginia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),36454,36076,35980,36185,36468,36093,36396,36817,37525,38343,38777,39802,38117,40801
 "51000","Virginia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",28992,30637,32715,34001,34498,36188,38139,40167,42385,44248,45514,44087,45513,47608,49309,48573,50318,52238,53268,54879,56619,59073,62189,66305
 "51000","Virginia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",24857,26061,27844,29006,30202,31997,33810,35240,37023,38557,39698,39463,40631,41982,43716,42579,44083,45516,46416,47874,49552,51474,54557,57532
 "51000","Virginia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21778,23211,24737,25652,26708,28076,29850,31725,33209,34585,35511,34807,35817,36762,37430,37910,38801,39392,40263,41257,42883,43822,42831,48249
 "51000","Virginia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.274,102.571,103.968,103.488,102.640,103.629,103.616,103.761,103.022,101.457,102.096,100.152,101.100,102.278
 "51000","Virginia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),97.414,96.481,99.546,101.594,102.640,105.032,106.607,106.994,107.296,107.599,110.588,110.101,112.367,118.255
 "51000","Virginia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4167798,4261127,4399151,4417451,4421795,4467387,4587103,4701063,4781825,4869348,4870415,4758119,4743189,4802678,4856886,4898765,4953354,5060290,5156641,5228265,5297964,5329887,5224997,5350774
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
