GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "50000","Vermont",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",20678.0,21830.2,23016.8,23752.4,24570.1,25464.9,26855.2,26995.6,27128.8,26886.7,27758.4,27222.0,28403.7,29013.5,29241.3,28681.5,28912.2,29119.0,29408.1,29490.6,29602.2,29940.7,29064.6,30546.8
 "50000","Vermont",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),26895.5,26719.3,27569.4,28619.1,28775.4,28647.1,29895.5,30167.6,30536.8,30585.2,30976.6,32615.0,33687.4,35126.6
 "50000","Vermont",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),24464.9,24494.0,25305.5,25957.9,25985.3,26098.3,26976.3,26806.9,27099.6,27020.8,27625.1,28095.8,26167.1,28727.5
 "50000","Vermont",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",16080.7,17176.9,18341.1,19323.2,20273.0,21293.2,22938.2,23608.6,24331.5,24797.7,25999.3,26099.2,27406.6,28418.7,29241.3,29289.6,30099.4,30933.3,31661.2,32266.1,33066.8,34230.8,34018.6,37103.8
 "50000","Vermont",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",15426.6,16303.8,17687.6,18804.8,19212.2,19980.1,21131.3,21666.5,23052.0,24280.9,25603.9,25291.7,26140.0,27690.6,28554.4,28964.3,30195.9,31079.0,31575.6,32445.5,33577.0,35584.5,38097.7,39949.4
 "50000","Vermont",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",13544.6,14296.1,15446.5,16539.4,17196.2,18122.5,19209.3,19475.1,20602.9,21586.7,22895.1,23218.9,23979.8,25093.6,25962.5,26087.0,27158.5,27866.8,28257.5,29073.8,30227.7,31911.0,34260.0,35362.0
 "50000","Vermont",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",13629.8,14585.6,15688.6,16616.9,17404.6,18420.9,19550.2,20693.7,21708.6,22448.1,23313.0,23216.2,24028.5,25151.8,25822.2,26422.7,27285.0,27664.4,28080.0,28734.7,30012.6,30718.7,29686.3,32769.8
 "50000","Vermont",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43091,42763,44015,45457,45627,45269,47167,47443,47988,47860,48351,50815,52432,54412
 "50000","Vermont",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39197,39202,40401,41230,41203,41241,42561,42158,42586,42282,43119,43774,40727,44499
 "50000","Vermont",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41733,43982,45277,45770,47641,48876,49621,50771,52409,55442,59296,61882
 "50000","Vermont",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",22559,23642,25338,27015,27941,29331,30987,31350,33076,34623,36682,37161,38284,39858,41167,41223,42849,43824,44406,45495,47182,49718,53323,54776
 "50000","Vermont",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",22701,24121,25735,27142,28280,29814,31537,33312,34851,36004,37352,37157,38362,39950,40945,41754,43048,43506,44127,44964,46846,47860,46205,50761
 "50000","Vermont",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),101.024,100.767,99.171,98.701,99.373,99.891,98.307,100.081,99.491,100.273,100.300,99.456,102.073,98.660
 "50000","Vermont",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.291,94.783,94.953,96.895,99.373,101.243,101.144,103.199,103.618,106.343,108.642,109.335,113.449,114.071
 "50000","Vermont",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",381006,389726,400963,403836,405652,406050,413089,417100,421004,425032,424270,414181,413312,416949,421809,425029,428938,432508,433778,435861,437638,433602,409390,420288
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
