GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "54000","West Virginia",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2012 dollars) 1/","Millions of chained 2012 dollars",59847.4,61783.9,61665.7,61818.6,62834.1,63145.5,64159.8,65678.4,66861.4,67119.1,68483.9,68191.8,69153.5,70361.3,70322.2,70550.1,70532.5,70663.0,70011.4,71425.6,73170.4,72633.4,70444.2,71343.2
 "54000","West Virginia",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2012) dollars) 2/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),70029.2,71763.3,71143.8,73250.4,74017.8,72005.2,73012.1,73846.3,72980.6,75920.2,77526.3,79811.1,83651.3,82629.1
 "54000","West Virginia",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2012) dollars) 3/","Millions of constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),60637.7,62657.4,62361.1,63489.8,64320.5,63961.4,64087.1,64921.8,66144.0,67765.6,68899.5,70025.7,68523.4,69920.5
 "54000","West Virginia",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",40014.6,41714.3,42495.6,43973.3,45580.8,47039.9,49741.4,53492.5,57010.0,59273.5,62694.8,63600.7,65998.7,69234.1,70322.2,71481.5,72648.2,71318.5,70924.4,74820.1,79192.9,79325.6,76547.9,85434.2
 "54000","West Virginia",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",37123.0,38114.1,40327.7,42791.9,44263.4,44986.9,46658.4,49118.6,52467.6,54490.8,58167.1,58608.6,60753.8,64227.3,65898.5,65572.8,67764.4,69178.6,68630.1,71344.5,74740.0,77329.9,80971.2,86451.8
 "54000","West Virginia",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",33174.3,34065.6,36040.3,38199.6,40197.5,41139.2,42833.1,44697.3,47648.6,49240.8,52298.5,53692.3,55651.8,58158.3,60079.7,59401.1,61297.0,62516.2,62220.1,64818.3,68301.4,70507.0,74113.9,78602.4
 "54000","West Virginia",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",31658.0,33356.4,35221.9,36582.9,38098.3,39784.4,42156.7,44383.6,46349.1,48335.7,50416.0,51240.2,53331.2,55749.0,57346.1,58325.7,59563.0,60923.0,62330.9,63838.0,66575.1,67992.2,66537.4,73374.9
 "54000","West Virginia",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38053,38838,38365,39439,39821,38782,39402,39996,39750,41651,42818,44329,46738,46344
 "54000","West Virginia",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2012 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32950,33910,33629,34183,34604,34450,34585,35162,36026,37177,38054,38894,38286,39216
 "54000","West Virginia",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",20447,21037,22317,23754,24517,24823,25687,26981,28704,29711,31607,31718,32762,34581,35453,35318,36570,37468,37380,39140,41279,42951,45240,48488
 "54000","West Virginia",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",18272,18802,19945,21205,22265,22700,23581,24552,26067,26848,28418,29058,30011,31313,32323,31994,33080,33859,33889,35560,37723,39161,41409,44085
 "54000","West Virginia",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",17437,18411,19492,20307,21102,21953,23208,24380,25356,26355,27395,27731,28759,30016,30852,31415,32144,32997,33949,35022,36770,37764,37176,41153
 "54000","West Virginia",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.145,86.940,89.319,89.445,89.157,89.971,90.333,91.005,90.482,88.827,89.207,88.323,87.365,90.763
 "54000","West Virginia",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.143,81.778,85.520,87.808,89.157,91.189,92.941,93.841,94.235,94.204,96.626,97.096,97.102,104.940
 "54000","West Virginia",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",868370,868236,875561,872546,871233,868331,879293,890779,902935,915669,918366,899038,899472,909035,918927,913619,911516,904242,890217,888859,897857,881598,841019,858231
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: December 15, 2022."
"U.S. Bureau of Economic Analysis"
