"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
00000,United States,27557,28693,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40683,42747,44548,44798,46887,48725,49613,51550,53786,56250,59765,64143
01000,Alabama,22668,23333,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33946,35010,35824,36014,37055,38531,39014,40223,41539,43288,46179,49769
02000,Alaska,29255,29951,32044,33626,34756,35996,37016,39075,41157,43906,47869,47258,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62756,65813
04000,Arizona,24173,24960,26388,27008,27353,28393,30221,32327,34703,35872,35748,33524,33876,35321,36545,37139,38756,40334,41473,43497,45466,48124,52327,55487
05000,Arkansas,21208,21871,22781,23873,24306,25595,27059,28227,29617,31303,32306,31472,32372,34279,36582,36677,38749,39968,40873,41890,43384,44324,47154,50625
06000,California,29092,30773,33410,34046,34131,35272,37070,38932,41746,43385,43567,41689,43246,45557,48121,48502,51266,54546,56560,58804,61508,64919,70647,76614
08000,Colorado,29901,31305,34029,34897,34438,34856,35819,37797,40137,42074,42953,40093,40790,43658,45630,47404,50797,52339,52390,55251,58453,62124,65358,70706
09000,Connecticut,37827,39700,43070,45153,44697,44997,47238,49738,53696,57684,60970,59684,61743,63132,64121,62647,65498,67321,68680,70011,72926,75533,78463,83294
10000,Delaware,29472,31181,33884,36922,37658,38065,38974,39370,41053,41733,40894,40856,40942,43962,44070,44404,46015,47868,48734,50417,52716,54217,56324,59931
11000,District of Columbia,38122,39798,43524,44871,45147,46011,50088,52947,55805,59824,60887,60143,63368,67005,68148,67774,71469,75623,78186,79984,82708,84671,89735,96477
12000,Florida,26883,27689,29466,30418,30810,31785,33778,35999,38386,39594,39401,36818,38872,40517,41540,41162,43516,45659,46454,49055,51520,54560,57292,62270
13000,Georgia,26152,27254,28851,29762,30133,30896,32034,33445,34791,35680,35438,34274,34829,36842,37495,37794,39969,41941,43033,44993,46855,49083,51987,55786
15000,Hawaii,26756,27768,29319,30229,31257,32467,34277,36375,38480,40490,41969,41082,41574,42809,43812,43931,46044,47777,49122,51114,52164,54700,57241,60947
16000,Idaho,22783,23688,25183,25799,26233,26728,28317,29392,31476,32707,32841,31281,32097,33579,35110,36095,37680,39386,40098,41457,43217,45924,49491,52369
17000,Illinois,29930,31068,33212,34299,34594,35212,36519,37975,40365,42513,43460,41180,42278,44194,46029,47047,49238,51443,52036,53611,56536,58438,62139,67244
18000,Indiana,25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52219,56497
19000,Iowa,25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47246,49163,50367,53312,57163
20000,Kansas,26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39960,43015,45294,46174,47013,47332,47326,48651,50663,52876,55974,58924
21000,Kentucky,22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33409,34799,35875,36058,37645,39232,39750,40751,41974,43875,47525,51266
22000,Louisiana,22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44056,46057,47668,50809,54217
23000,Maine,24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54912,58484
24000,Maryland,31483,33036,35591,37076,38035,39394,41641,43515,45576,47327,49186,48448,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65685,69817
25000,Massachusetts,32914,34967,38594,39872,39540,40267,42407,44371,47750,50085,51810,50772,52894,54812,56669,56628,58924,62376,64295,66679,69693,73213,78388,83653
26000,Michigan,27430,28629,30344,30749,30602,31279,32168,32946,33812,34929,35969,34307,35760,37781,39266,39566,41207,43425,44527,45716,47457,49142,53388,56494
27000,Minnesota,29162,30303,32448,33490,33955,35293,37211,38065,39667,41655,43161,41079,42724,45323,47726,47838,49967,51985,52596,54266,56539,58543,62240,66280
28000,Mississippi,20174,20709,21681,22845,23219,24064,25306,26835,27981,29554,30785,30157,31287,32546,33657,34259,34896,35533,36021,36902,37900,39445,42716,45881
29000,Missouri,25540,26342,27941,28690,29168,30085,31510,32467,34119,35502,37312,36385,37118,38533,40317,40569,41963,43322,44410,45239,47085,49001,52108,55325
30000,Montana,21461,21794,23081,23996,24554,26125,28131,30074,32193,34183,35792,34689,36393,38558,40701,40674,42494,43941,44063,46036,47612,50289,54106,56949
31000,Nebraska,26421,27545,29039,30275,30599,32348,33627,34666,36019,38531,40535,39535,41248,45674,46670,46653,48957,50556,49360,50144,51916,54182,57421,61205
32000,Nevada,29314,30405,31986,32461,32130,33121,35232,38109,39767,40212,38836,36231,37494,38777,39909,39664,41773,44493,45450,47485,49678,52602,55406,60213
33000,New Hampshire,30319,31852,35335,36747,36974,37371,39434,40619,43153,44695,45886,45101,47098,49131,51123,50865,52643,54684,56321,58362,60831,64747,68542,73200
34000,New Jersey,34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71505,77016
35000,New Mexico,21380,21587,23102,24601,25255,26097,27399,28858,30597,31950,33649,32911,33710,35045,35749,35088,37219,38103,38775,39458,41218,43530,46760,50311
36000,New York,32040,33740,36090,37283,37088,37576,39329,40884,44128,47428,48184,47027,48768,50904,53102,53395,55290,57481,59280,62913,64849,67366,71577,76837
37000,North Carolina,25440,26239,27510,27838,27852,28715,30635,32345,34385,36211,37835,35933,35872,36902,39103,38394,40293,42076,42936,44591,46352,48741,51900,56173
38000,North Dakota,23285,23705,25892,26541,27218,29678,30107,31967,33357,36709,41075,40212,44264,49000,56443,54900,57523,53991,52005,52521,55396,57110,60864,64524
39000,Ohio,26442,27200,28598,29323,29693,30509,31660,32607,34214,35629,36827,35755,36854,39245,40759,41259,42829,44442,45212,46646,48327,50035,53545,56879
40000,Oklahoma,22006,22412,24178,25608,26023,27198,29264,31856,34854,35711,39325,35917,37276,39800,42232,44017,46614,44894,42521,44423,46415,48646,50518,53870
41000,Oregon,26023,26617,28386,28829,28749,29526,30996,32296,34716,35879,36992,35313,36036,37596,39371,39788,42134,44694,45999,47974,50567,52718,57005,61596
42000,Pennsylvania,27336,28489,30443,31634,32133,33170,34984,36410,38109,40337,41728,40530,42251,44211,45855,46213,48063,49927,51181,52421,55030,56952,60685,64279
44000,Rhode Island,27552,28496,30417,31815,32807,34301,35927,36984,39028,40894,41638,40610,42766,44201,45601,45447,47199,48682,49184,50982,52659,55830,59941,64376
45000,South Carolina,22946,23764,25133,25737,26182,26832,27986,29285,30984,32402,33234,32010,32852,34479,35989,36204,38152,40053,41178,42758,44155,46681,49105,52467
46000,South Dakota,24277,25306,26825,27645,27572,29972,32025,33788,35299,38748,41168,39518,41423,44758,45442,45608,47488,49186,49192,50104,52166,55294,60446,64462
47000,Tennessee,25116,25807,27066,27541,28113,29098,30472,31548,33065,34164,35059,34446,35851,37727,39373,39454,40753,42535,43499,44879,46870,49343,52351,56560
48000,Texas,25556,26530,28383,29644,29524,30224,31195,33276,35630,37085,39946,37269,39034,42037,44241,44816,47370,47465,46586,49231,52005,54076,55601,59865
49000,Utah,22266,23081,24260,24925,25190,25792,27018,28927,31327,33165,33941,31858,32218,34190,36005,36511,38168,40459,41750,43241,45665,48580,52225,56019
50000,Vermont,25693,26963,29014,30716,31217,32338,34087,34878,37008,38944,41022,40479,41733,43982,45277,45770,47641,48876,49621,50771,52409,55442,59296,61882
51000,Virginia,28992,30637,32715,34001,34498,36188,38139,40167,42385,44248,45514,44087,45513,47608,49309,48573,50318,52238,53268,54879,56619,59073,62189,66305
53000,Washington,29513,30958,32723,33084,33212,34253,36378,37384,40027,42819,44241,41591,42348,44225,47320,47857,50890,53083,54918,57265,60221,64189,68350,73775
54000,West Virginia,20447,21037,22317,23754,24517,24823,25687,26981,28704,29711,31607,31718,32762,34581,35453,35318,36570,37468,37380,39140,41279,42951,45240,48488
55000,Wisconsin,27031,27933,29556,30841,31425,32148,33424,34447,36338,37816,39055,38182,39175,41209,42944,43050,44709,46548,47205,48758,50908,52893,55941,59626
56000,Wyoming,25755,27518,29607,31347,31854,33686,36065,39385,44492,46278,49746,44564,46649,50783,54213,53776,57749,57846,54827,57184,60472,64117,65782,69666

Legend/Footnotes
